registration_id,customer_id,registration_datetime,registration_source,device_type,browser,country
WEB00037,CUST01840,2025-09-11 01:44:35,Advertisement,Mobile,Edge,France
WEB00038,CUST01170,2025-07-19 08:53:51,Organic Search,Mobile,Edge,Germany
WEB00039,CUST00595,2026-02-19 17:26:03,Social Media,Mobile,Chrome,France
WEB00040,CUST00702,2025-03-21 04:31:57,Organic Search,Desktop,Chrome,UK
WEB00041,CUST00984,2025-03-06 14:12:11,Organic Search,Desktop,Safari,France
WEB00042,CUST00476,2026-01-21 23:44:21,Referral,Mobile,Firefox,USA
WEB00043,CUST01409,2025-09-22 22:00:07,Social Media,Desktop,Firefox,UK
WEB00044,CUST01332,2025-03-27 01:03:43,Social Media,Desktop,Firefox,USA
WEB00045,CUST00340,2026-07-13 03:47:34,Direct,Desktop,Firefox,Australia
WEB00046,CUST00070,2026-07-13 04:55:51,Direct,Mobile,Safari,Australia
WEB00047,CUST00400,2025-12-31 04:41:28,Advertisement,Mobile,Chrome,India
WEB00048,CUST00763,2025-08-11 23:22:57,Referral,Tablet,Firefox,Singapore
WEB00049,CUST00507,2026-07-01 19:10:31,Advertisement,Tablet,Safari,Germany
WEB00050,CUST01125,2025-04-30 09:11:55,Referral,Mobile,Edge,Germany
WEB00051,CUST00955,2025-01-16 08:25:17,Social Media,Tablet,Firefox,Australia
WEB00052,CUST00782,2025-12-29 02:48:08,Direct,Tablet,Edge,UK
WEB00053,CUST00693,2025-12-05 12:05:06,Advertisement,Mobile,Safari,Singapore
WEB00054,CUST01451,2025-06-16 03:55:46,Social Media,Mobile,Safari,UK
WEB00055,CUST00172,2026-02-20 13:00:14,Organic Search,Tablet,Safari,UK
WEB00056,CUST00704,2025-05-19 07:20:52,Direct,Mobile,Edge,Germany
WEB00057,CUST00535,2025-07-21 15:47:08,Organic Search,Mobile,Safari,France
WEB00058,CUST01547,2025-03-26 08:07:48,Social Media,Mobile,Edge,France
WEB00059,CUST01655,2025-03-15 14:58:47,Organic Search,Tablet,Firefox,UK
WEB00060,CUST01689,2025-03-07 03:33:58,Direct,Tablet,Edge,Germany
WEB00061,CUST01034,2025-02-23 13:30:47,Direct,Desktop,Chrome,UK
WEB00062,CUST01839,2025-04-29 14:31:39,Social Media,Tablet,Chrome,UK
WEB00063,CUST01895,2025-11-18 22:04:48,Referral,Mobile,Edge,UK
WEB00064,CUST01820,2025-08-22 11:07:39,Organic Search,Mobile,Chrome,UK
WEB00065,CUST00555,2025-04-25 17:39:19,Direct,Mobile,Safari,Australia
WEB00066,CUST00729,2025-03-14 20:17:07,Advertisement,Desktop,Safari,USA
WEB00067,CUST00525,2025-01-30 19:26:07,Organic Search,Mobile,Safari,UK
WEB00068,CUST01316,2026-01-10 23:37:33,Referral,Desktop,Safari,USA
WEB00069,CUST00852,2026-05-10 15:51:02,Organic Search,Desktop,Firefox,Singapore
WEB00070,CUST01278,2025-05-26 12:00:29,Direct,Desktop,Firefox,Germany
WEB00071,CUST00159,2026-04-25 16:22:38,Referral,Tablet,Chrome,Germany
WEB00072,CUST00271,2026-03-05 08:40:53,Advertisement,Tablet,Edge,Australia
WEB00073,CUST00633,2026-03-22 06:15:31,Advertisement,Desktop,Safari,France
WEB00074,CUST01952,2025-06-22 21:02:05,Referral,Desktop,Firefox,Germany
WEB00075,CUST00721,2025-11-23 09:37:58,Organic Search,Mobile,Safari,USA
WEB00076,CUST00545,2025-12-04 01:16:33,Advertisement,Desktop,Chrome,USA
WEB00077,CUST01244,2025-11-04 15:31:27,Advertisement,Mobile,Edge,Australia
WEB00078,CUST01991,2026-03-20 18:48:24,Advertisement,Mobile,Chrome,USA
WEB00079,CUST00284,2025-11-24 11:16:19,Organic Search,Tablet,Chrome,India
WEB00080,CUST00745,2025-12-11 09:19:22,Advertisement,Mobile,Chrome,Germany
WEB00081,CUST01778,2026-04-06 12:34:15,Advertisement,Desktop,Firefox,UK
WEB00082,CUST01908,2025-06-02 02:25:52,Direct,Mobile,Firefox,Germany
WEB00083,CUST01753,2026-01-29 18:00:31,Direct,Mobile,Edge,France
WEB00084,CUST00713,2026-02-10 22:57:35,Direct,Tablet,Edge,Singapore
WEB00085,CUST01060,2025-03-27 22:28:15,Organic Search,Tablet,Safari,France
WEB00086,CUST01748,2026-03-06 09:12:07,Social Media,Mobile,Chrome,USA
WEB00087,CUST00842,2025-07-27 09:50:31,Organic Search,Tablet,Edge,France
WEB00088,CUST01776,2026-02-18 20:16:20,Organic Search,Mobile,Firefox,France
WEB00089,CUST01398,2026-02-12 06:38:01,Organic Search,Desktop,Edge,USA
WEB00090,CUST00378,2025-06-09 04:44:26,Direct,Desktop,Safari,India
WEB00091,CUST00408,2025-11-25 10:06:06,Advertisement,Mobile,Edge,Germany
WEB00092,CUST01167,2025-11-01 10:42:56,Organic Search,Desktop,Firefox,USA
WEB00093,CUST01128,2026-07-10 04:17:01,Organic Search,Desktop,Firefox,India
WEB00094,CUST01758,2025-04-14 20:24:20,Organic Search,Tablet,Firefox,Singapore
WEB00095,CUST00575,2025-06-15 23:41:33,Organic Search,Mobile,Chrome,France
WEB00096,CUST01442,2025-09-01 01:02:41,Organic Search,Tablet,Edge,France
WEB00097,CUST01846,2026-03-07 10:40:38,Referral,Tablet,Safari,India
WEB00098,CUST01416,2025-05-19 10:25:11,Advertisement,Desktop,Chrome,Singapore
WEB00099,CUST00961,2026-02-28 16:49:49,Direct,Tablet,Safari,India
WEB00100,CUST01894,2025-03-30 03:51:42,Organic Search,Desktop,Chrome,USA
WEB00101,CUST01013,2026-03-27 08:44:17,Organic Search,Desktop,Firefox,Singapore
WEB00102,CUST00860,2026-03-30 01:28:14,Organic Search,Mobile,Edge,India
WEB00103,CUST01526,2026-01-18 17:15:06,Advertisement,Tablet,Chrome,Australia
WEB00104,CUST00295,2026-08-10 05:02:53,Advertisement,Mobile,Edge,Australia
WEB00105,CUST01569,2026-06-14 06:47:19,Direct,Mobile,Edge,France
WEB00106,CUST00475,2026-02-12 15:01:12,Direct,Desktop,Safari,Germany
WEB00107,CUST00471,2026-04-11 12:58:00,Organic Search,Mobile,Chrome,Australia
WEB00108,CUST00221,2026-01-26 11:03:51,Direct,Desktop,Edge,Germany
WEB00109,CUST01220,2026-05-02 03:21:35,Direct,Tablet,Safari,UK
WEB00110,CUST00260,2026-04-27 21:11:49,Direct,Desktop,Edge,India
WEB00111,CUST01732,2025-09-23 17:49:26,Direct,Desktop,Chrome,India
WEB00112,CUST00126,2025-03-28 13:48:39,Social Media,Desktop,Edge,Singapore
WEB00113,CUST00827,2025-02-11 13:51:33,Advertisement,Tablet,Edge,Australia
WEB00114,CUST00852,2025-06-21 21:08:27,Social Media,Mobile,Chrome,USA
WEB00115,CUST00223,2025-11-22 22:44:14,Advertisement,Mobile,Chrome,Australia
WEB00116,CUST01805,2025-06-22 10:26:21,Referral,Desktop,Edge,Germany
WEB00117,CUST01737,2025-10-13 18:55:29,Organic Search,Desktop,Chrome,Australia
WEB00118,CUST01918,2025-05-01 23:45:10,Direct,Tablet,Firefox,France
WEB00119,CUST01792,2026-07-08 10:17:23,Organic Search,Tablet,Edge,France
WEB00120,CUST00223,2025-09-13 20:21:57,Advertisement,Mobile,Firefox,Singapore
WEB00121,CUST00307,2026-02-08 21:25:40,Organic Search,Mobile,Edge,USA
WEB00122,CUST01871,2025-11-28 02:47:47,Social Media,Tablet,Chrome,Germany
WEB00123,CUST00430,2026-04-17 16:34:15,Social Media,Desktop,Safari,France
WEB00124,CUST01278,2025-12-06 03:46:18,Organic Search,Tablet,Safari,Singapore
WEB00125,CUST00479,2026-02-21 07:26:48,Referral,Mobile,Chrome,UK
WEB00126,CUST01470,2026-05-15 08:25:05,Organic Search,Mobile,Edge,UK
WEB00127,CUST01670,2026-01-15 05:59:33,Social Media,Desktop,Firefox,USA
WEB00128,CUST00261,2026-01-16 02:40:36,Referral,Desktop,Chrome,UK
WEB00129,CUST01912,2026-06-29 12:44:51,Organic Search,Tablet,Chrome,Australia
WEB00130,CUST00729,2026-03-02 02:52:31,Direct,Mobile,Safari,UK
WEB00131,CUST00790,2025-02-10 01:39:41,Organic Search,Mobile,Firefox,Singapore
WEB00132,CUST01966,2026-04-23 10:44:09,Direct,Desktop,Safari,Singapore
WEB00133,CUST01869,2026-06-05 18:14:37,Social Media,Mobile,Safari,Germany
WEB00134,CUST01330,2025-12-22 05:41:29,Organic Search,Desktop,Edge,Australia
WEB00135,CUST00042,2026-04-25 03:36:58,Advertisement,Tablet,Safari,France
WEB00136,CUST00678,2025-02-19 13:41:53,Advertisement,Mobile,Firefox,Singapore
WEB00137,CUST00793,2026-08-15 22:08:27,Direct,Desktop,Firefox,France
WEB00138,CUST01808,2026-06-02 18:54:04,Direct,Desktop,Firefox,Australia
WEB00139,CUST00233,2025-03-22 21:48:27,Advertisement,Mobile,Chrome,Australia
WEB00140,CUST01770,2026-01-27 07:27:45,Referral,Mobile,Safari,France
WEB00141,CUST01971,2026-05-18 05:43:21,Advertisement,Tablet,Chrome,Germany
WEB00142,CUST00464,2026-03-15 13:19:35,Organic Search,Mobile,Chrome,UK
WEB00143,CUST00393,2025-05-26 13:35:32,Advertisement,Desktop,Safari,France
WEB00144,CUST01972,2025-05-18 16:09:04,Referral,Desktop,Chrome,USA
WEB00145,CUST01869,2025-02-06 20:04:10,Organic Search,Tablet,Chrome,USA
WEB00146,CUST00848,2025-11-19 19:55:42,Social Media,Mobile,Firefox,USA
WEB00147,CUST01554,2025-05-30 18:48:53,Social Media,Tablet,Edge,Australia
WEB00148,CUST01946,2025-12-07 20:36:38,Social Media,Desktop,Chrome,UK
WEB00149,CUST01782,2025-03-30 19:31:26,Social Media,Desktop,Chrome,USA
WEB00150,CUST00642,2025-09-03 14:55:43,Direct,Tablet,Safari,France
WEB00151,CUST01017,2025-06-20 20:54:06,Organic Search,Desktop,Chrome,Germany
WEB00152,CUST00188,2025-03-24 00:31:28,Organic Search,Tablet,Chrome,UK
WEB00153,CUST01024,2026-06-30 06:58:55,Referral,Tablet,Firefox,USA
WEB00154,CUST00089,2025-03-07 18:11:56,Advertisement,Desktop,Safari,Singapore
WEB00155,CUST00296,2026-01-26 20:42:16,Social Media,Tablet,Firefox,UK
WEB00156,CUST00789,2025-09-20 13:08:46,Advertisement,Desktop,Chrome,Germany
WEB00157,CUST00250,2025-12-07 07:13:46,Referral,Desktop,Edge,Germany
WEB00158,CUST00558,2025-06-12 15:14:45,Advertisement,Mobile,Firefox,Australia
WEB00159,CUST01322,2026-06-04 17:44:54,Direct,Mobile,Edge,France
WEB00160,CUST01904,2025-07-29 17:24:45,Referral,Mobile,Chrome,USA
WEB00161,CUST00550,2026-06-20 16:06:56,Social Media,Desktop,Safari,UK
WEB00162,CUST01273,2025-08-15 10:02:36,Referral,Desktop,Chrome,France
WEB00163,CUST00950,2026-07-29 06:27:20,Social Media,Tablet,Firefox,UK
WEB00164,CUST01316,2026-03-13 13:31:21,Advertisement,Tablet,Chrome,Australia
WEB00165,CUST00246,2026-06-07 16:05:44,Direct,Mobile,Edge,UK
WEB00166,CUST01457,2025-03-12 19:06:41,Referral,Mobile,Firefox,Australia
WEB00167,CUST01179,2026-05-03 14:50:48,Advertisement,Tablet,Chrome,France
WEB00168,CUST01161,2026-03-06 02:22:03,Advertisement,Desktop,Chrome,UK
WEB00169,CUST00156,2025-01-20 03:35:19,Social Media,Tablet,Firefox,France
WEB00170,CUST01933,2025-02-05 11:41:57,Direct,Mobile,Edge,India
WEB00171,CUST00349,2025-11-29 02:53:28,Referral,Desktop,Edge,India
WEB00172,CUST00029,2026-01-16 15:49:20,Referral,Desktop,Safari,Germany
WEB00173,CUST00294,2025-08-22 18:42:25,Direct,Mobile,Edge,Germany
WEB00174,CUST01363,2026-07-05 09:42:38,Referral,Desktop,Edge,France
WEB00175,CUST00276,2025-02-07 09:04:11,Direct,Tablet,Safari,Singapore
WEB00176,CUST01880,2025-07-29 05:16:30,Advertisement,Desktop,Chrome,Singapore
WEB00177,CUST01251,2025-02-24 02:37:23,Organic Search,Mobile,Edge,Singapore
WEB00178,CUST00638,2026-08-15 04:09:24,Advertisement,Desktop,Firefox,Germany
WEB00179,CUST00074,2025-09-13 11:31:16,Organic Search,Tablet,Chrome,USA
WEB00180,CUST00193,2025-01-18 06:17:21,Social Media,Desktop,Chrome,Australia
WEB00181,CUST01347,2026-07-18 13:22:45,Organic Search,Tablet,Safari,Singapore
WEB00182,CUST00967,2026-03-14 02:35:24,Referral,Tablet,Firefox,USA
WEB00183,CUST01348,2025-09-28 20:13:04,Social Media,Desktop,Edge,USA
WEB00184,CUST00785,2025-12-20 18:06:42,Advertisement,Tablet,Edge,Germany
WEB00185,CUST00399,2026-04-06 16:48:06,Direct,Mobile,Edge,USA
WEB00186,CUST01770,2025-05-31 17:14:33,Organic Search,Tablet,Safari,USA
WEB00187,CUST00947,2025-05-07 12:37:02,Social Media,Mobile,Firefox,India
WEB00188,CUST01852,2026-05-21 05:09:18,Direct,Desktop,Chrome,Germany
WEB00189,CUST00353,2025-05-21 16:54:05,Advertisement,Tablet,Chrome,Singapore
WEB00190,CUST01208,2026-01-31 06:37:43,Advertisement,Tablet,Edge,France
WEB00191,CUST00597,2026-05-18 08:40:09,Social Media,Tablet,Safari,USA
WEB00192,CUST00588,2025-02-04 21:18:39,Organic Search,Desktop,Safari,India
WEB00193,CUST01557,2025-06-23 00:22:17,Social Media,Tablet,Chrome,USA
WEB00194,CUST00040,2025-01-30 03:08:32,Social Media,Mobile,Firefox,France
WEB00195,CUST01013,2026-01-22 21:23:59,Direct,Mobile,Edge,Germany
WEB00196,CUST00936,2025-04-26 16:49:31,Direct,Desktop,Chrome,USA
WEB00197,CUST01930,2025-01-02 11:29:58,Advertisement,Tablet,Firefox,USA
WEB00198,CUST00092,2026-04-29 21:19:18,Social Media,Desktop,Chrome,Singapore
WEB00199,CUST01877,2025-01-17 16:01:55,Social Media,Mobile,Chrome,India
WEB00200,CUST01968,2025-11-30 00:36:47,Advertisement,Mobile,Firefox,France
WEB00201,CUST00434,2025-10-11 00:03:47,Direct,Desktop,Chrome,UK
WEB00202,CUST01233,2025-06-30 19:47:55,Social Media,Tablet,Firefox,France
WEB00203,CUST01627,2025-12-18 10:50:50,Referral,Desktop,Safari,France
WEB00204,CUST01972,2025-12-27 18:33:05,Advertisement,Tablet,Chrome,Australia
WEB00205,CUST00685,2025-02-16 21:58:10,Organic Search,Mobile,Firefox,UK
WEB00206,CUST00550,2025-02-21 17:00:30,Referral,Desktop,Safari,Germany
WEB00207,CUST00767,2026-04-15 11:35:51,Organic Search,Mobile,Chrome,France
WEB00208,CUST00587,2025-04-09 19:45:06,Organic Search,Tablet,Chrome,France
WEB00209,CUST01192,2025-02-08 22:58:23,Social Media,Tablet,Chrome,Australia
WEB00210,CUST01865,2025-04-23 05:53:18,Advertisement,Desktop,Safari,Germany
WEB00211,CUST01009,2026-01-28 17:55:00,Referral,Mobile,Firefox,France
WEB00212,CUST01624,2025-04-19 10:18:26,Referral,Mobile,Firefox,UK
WEB00213,CUST01871,2026-02-06 19:20:01,Referral,Mobile,Chrome,Singapore
WEB00214,CUST01946,2026-07-20 23:04:10,Organic Search,Tablet,Firefox,Germany
WEB00215,CUST01812,2025-09-19 18:26:39,Referral,Desktop,Firefox,UK
WEB00216,CUST00725,2026-08-06 14:50:49,Social Media,Tablet,Firefox,Germany
WEB00217,CUST00896,2025-10-03 12:59:30,Direct,Tablet,Edge,USA
WEB00218,CUST00530,2026-06-16 19:30:59,Referral,Mobile,Chrome,UK
WEB00219,CUST01654,2025-01-02 09:04:50,Referral,Tablet,Firefox,India
WEB00220,CUST01204,2026-03-03 00:50:58,Referral,Desktop,Edge,UK
WEB00221,CUST01828,2025-11-15 08:16:12,Social Media,Mobile,Edge,UK
WEB00222,CUST01782,2026-05-26 14:16:19,Referral,Mobile,Safari,France
WEB00223,CUST01448,2025-06-30 03:15:42,Social Media,Desktop,Chrome,Singapore
WEB00224,CUST01957,2026-06-09 21:27:45,Social Media,Tablet,Safari,India
WEB00225,CUST01396,2025-05-16 05:00:45,Social Media,Desktop,Edge,Germany
WEB00226,CUST00319,2025-10-07 05:35:44,Social Media,Mobile,Chrome,Germany
WEB00227,CUST01129,2025-03-06 07:33:49,Direct,Desktop,Safari,Singapore
WEB00228,CUST01446,2025-04-22 05:42:25,Social Media,Mobile,Safari,USA
WEB00229,CUST01385,2026-01-01 14:34:07,Direct,Mobile,Safari,France
WEB00230,CUST00808,2025-07-31 15:54:40,Advertisement,Mobile,Edge,UK
WEB00231,CUST00297,2026-05-26 02:25:14,Social Media,Desktop,Safari,Singapore
WEB00232,CUST00926,2026-07-02 18:48:20,Social Media,Tablet,Firefox,France
WEB00233,CUST00413,2025-03-16 10:45:01,Advertisement,Tablet,Edge,France
WEB00234,CUST01579,2026-04-24 07:18:00,Referral,Desktop,Safari,USA
WEB00235,CUST00736,2026-03-11 11:20:51,Referral,Mobile,Firefox,USA
WEB00236,CUST01976,2026-01-18 10:31:15,Organic Search,Desktop,Chrome,Germany
WEB00237,CUST01887,2025-10-14 03:30:35,Advertisement,Tablet,Firefox,India
WEB00238,CUST01621,2026-01-26 04:48:39,Organic Search,Desktop,Chrome,India
WEB00239,CUST00598,2025-01-06 22:30:29,Direct,Desktop,Edge,Singapore
WEB00240,CUST00685,2025-05-23 08:32:58,Referral,Tablet,Edge,Australia
WEB00241,CUST00258,2025-10-19 16:12:24,Referral,Desktop,Firefox,Australia
WEB00242,CUST00181,2026-05-17 23:38:25,Referral,Desktop,Firefox,Australia
WEB00243,CUST00926,2026-05-20 02:13:13,Advertisement,Tablet,Safari,India
WEB00244,CUST00656,2025-11-26 02:02:51,Social Media,Tablet,Firefox,India
WEB00245,CUST00679,2026-07-25 20:53:36,Referral,Desktop,Firefox,France
WEB00246,CUST01445,2026-07-10 19:54:54,Social Media,Tablet,Firefox,India
WEB00247,CUST01981,2025-10-06 05:01:05,Referral,Tablet,Firefox,Germany
WEB00248,CUST00033,2025-02-12 18:34:48,Referral,Mobile,Safari,Germany
WEB00249,CUST00775,2025-09-26 01:48:19,Advertisement,Tablet,Edge,Australia
WEB00250,CUST00475,2026-02-18 22:27:59,Referral,Desktop,Chrome,India
WEB00251,CUST01127,2025-07-24 19:49:20,Advertisement,Desktop,Firefox,Germany
WEB00252,CUST00374,2026-06-23 16:41:20,Advertisement,Mobile,Safari,Australia
WEB00253,CUST01931,2025-08-14 15:19:07,Advertisement,Mobile,Chrome,Australia
WEB00254,CUST01243,2026-05-04 16:57:33,Direct,Tablet,Chrome,UK
WEB00255,CUST01783,2025-10-11 17:40:02,Advertisement,Tablet,Edge,India
WEB00256,CUST01268,2025-09-12 09:16:56,Social Media,Mobile,Safari,UK
WEB00257,CUST01806,2025-02-17 10:19:36,Advertisement,Mobile,Edge,UK
WEB00258,CUST00689,2025-06-19 00:48:16,Advertisement,Tablet,Safari,UK
WEB00259,CUST01585,2026-01-22 04:47:35,Advertisement,Tablet,Edge,USA
WEB00260,CUST00741,2025-10-07 12:04:25,Social Media,Tablet,Safari,UK
WEB00261,CUST00725,2025-08-01 15:29:35,Advertisement,Tablet,Edge,India
WEB00262,CUST00812,2025-03-02 16:50:04,Referral,Mobile,Safari,France
WEB00263,CUST01548,2026-01-29 17:29:27,Referral,Mobile,Edge,Germany
WEB00264,CUST01587,2025-12-24 21:22:07,Referral,Tablet,Chrome,USA
WEB00265,CUST01198,2026-01-13 01:16:52,Organic Search,Mobile,Safari,UK
WEB00266,CUST00515,2025-02-28 23:33:06,Direct,Desktop,Firefox,Australia
WEB00267,CUST00726,2026-06-13 04:01:51,Advertisement,Mobile,Chrome,India
WEB00268,CUST01078,2025-05-06 04:07:28,Social Media,Mobile,Edge,India
WEB00269,CUST01063,2025-06-17 14:37:51,Advertisement,Desktop,Safari,Australia
WEB00270,CUST00932,2025-05-11 06:11:55,Direct,Tablet,Edge,USA
WEB00271,CUST01730,2026-07-12 14:36:05,Direct,Tablet,Safari,UK
WEB00272,CUST00037,2025-10-24 11:21:05,Referral,Mobile,Firefox,India
WEB00273,CUST00132,2026-01-28 21:54:33,Direct,Mobile,Chrome,France
WEB00274,CUST00430,2026-03-03 21:23:05,Social Media,Tablet,Firefox,India
WEB00275,CUST01798,2026-01-06 12:55:47,Direct,Mobile,Chrome,India
WEB00276,CUST00338,2026-03-13 03:17:34,Referral,Tablet,Firefox,USA
WEB00277,CUST01421,2025-11-27 18:28:07,Social Media,Tablet,Chrome,India
WEB00278,CUST01918,2026-01-14 23:27:35,Referral,Desktop,Firefox,Germany
WEB00279,CUST00654,2025-05-02 17:20:49,Social Media,Desktop,Chrome,Singapore
WEB00280,CUST01709,2025-09-13 10:57:58,Referral,Tablet,Chrome,UK
WEB00281,CUST00805,2025-01-05 06:53:45,Referral,Desktop,Chrome,France
WEB00282,CUST00984,2025-11-01 11:42:43,Social Media,Mobile,Edge,India
WEB00283,CUST00865,2025-11-29 10:25:37,Direct,Desktop,Firefox,USA
WEB00284,CUST00594,2025-11-09 12:53:01,Organic Search,Mobile,Safari,Singapore
WEB00285,CUST00867,2026-06-30 06:09:20,Direct,Desktop,Firefox,USA
WEB00286,CUST00310,2025-10-22 07:38:15,Social Media,Desktop,Firefox,Australia
WEB00287,CUST00042,2026-05-21 00:46:00,Organic Search,Mobile,Safari,France
WEB00288,CUST00621,2025-11-18 09:57:29,Referral,Desktop,Edge,India
WEB00289,CUST00363,2025-02-16 01:31:28,Direct,Mobile,Chrome,Australia
WEB00290,CUST00818,2025-01-29 00:24:38,Social Media,Desktop,Chrome,Australia
WEB00291,CUST00872,2025-07-05 05:59:59,Referral,Tablet,Safari,France
WEB00292,CUST01164,2026-04-13 01:30:59,Organic Search,Mobile,Safari,India
WEB00293,CUST00182,2025-10-12 20:24:34,Referral,Mobile,Safari,USA
WEB00294,CUST01435,2025-08-07 08:03:44,Advertisement,Desktop,Chrome,Australia
WEB00295,CUST00281,2025-10-19 01:38:49,Direct,Desktop,Chrome,Australia
WEB00296,CUST00463,2026-07-17 07:27:01,Referral,Desktop,Safari,India
WEB00297,CUST01858,2025-04-21 07:51:43,Advertisement,Desktop,Safari,USA
WEB00298,CUST01701,2025-12-22 21:04:15,Referral,Tablet,Edge,India
WEB00299,CUST01133,2026-02-11 16:56:24,Social Media,Mobile,Safari,Germany
WEB00300,CUST00478,2026-05-09 02:36:46,Organic Search,Desktop,Firefox,USA
WEB00301,CUST01809,2025-10-16 18:47:33,Referral,Mobile,Safari,UK
WEB00302,CUST01979,2026-07-12 03:12:12,Organic Search,Desktop,Chrome,USA
WEB00303,CUST01300,2026-05-28 07:14:35,Organic Search,Desktop,Firefox,India
WEB00304,CUST00516,2025-03-01 03:51:51,Referral,Tablet,Chrome,India
WEB00305,CUST00713,2025-05-30 12:36:52,Referral,Tablet,Safari,Singapore
WEB00306,CUST00027,2025-05-29 05:47:14,Referral,Desktop,Chrome,Australia
WEB00307,CUST01623,2026-06-27 01:07:21,Direct,Tablet,Safari,India
WEB00308,CUST01925,2025-03-12 12:02:27,Advertisement,Tablet,Firefox,USA
WEB00309,CUST01156,2026-05-07 18:48:21,Social Media,Mobile,Firefox,USA
WEB00310,CUST01087,2026-07-31 21:06:41,Direct,Tablet,Firefox,USA
WEB00311,CUST01053,2025-09-05 00:27:51,Social Media,Tablet,Safari,India
WEB00312,CUST00560,2025-03-26 11:47:10,Advertisement,Tablet,Edge,Singapore
WEB00313,CUST00184,2026-04-28 12:39:59,Organic Search,Mobile,Edge,Australia
WEB00314,CUST00604,2025-09-16 19:22:57,Social Media,Tablet,Safari,India
WEB00315,CUST00411,2026-01-14 06:54:35,Advertisement,Mobile,Edge,Singapore
WEB00316,CUST01549,2025-06-26 02:40:51,Organic Search,Tablet,Chrome,France
WEB00317,CUST00082,2025-09-28 05:31:47,Direct,Tablet,Firefox,USA
WEB00318,CUST01727,2025-08-22 14:37:07,Organic Search,Tablet,Safari,Singapore
WEB00319,CUST00171,2025-11-01 17:59:48,Advertisement,Desktop,Firefox,Germany
WEB00320,CUST01046,2025-01-10 06:29:17,Social Media,Mobile,Firefox,France
WEB00321,CUST01783,2025-11-23 23:56:43,Direct,Mobile,Edge,India
WEB00322,CUST00549,2025-06-18 01:46:55,Direct,Tablet,Edge,UK
WEB00323,CUST01583,2025-05-16 15:18:07,Social Media,Mobile,Firefox,India
WEB00324,CUST00192,2026-07-06 11:19:03,Advertisement,Desktop,Firefox,India
WEB00325,CUST00444,2025-04-02 08:01:48,Advertisement,Tablet,Safari,USA
WEB00326,CUST01818,2026-05-12 07:04:21,Referral,Desktop,Edge,USA
