engagement_id,campaign_id,customer_id,platform,post_date,post_type,impressions,clicks,likes,comments,shares,engagement_rate
SOC00046,CAMP01807,CUST01536,Facebook,2025-10-29,Reel,188989,6416,2530,1592,3605,0.0748
SOC00047,CAMP01180,CUST01947,LinkedIn,2026-01-23,Video,192145,6333,10021,324,572,0.0898
SOC00048,CAMP01439,CUST01554,Instagram,2025-03-16,Text,127152,6762,3542,53,3800,0.1113
SOC00049,CAMP00105,CUST00781,LinkedIn,2026-06-25,Text,12043,10809,9233,689,1995,0.5
SOC00050,CAMP01822,CUST00333,LinkedIn,2026-06-15,Image,89949,8674,113,801,3231,0.1425
SOC00051,CAMP01227,CUST01305,Facebook,2026-03-31,Text,179037,1985,4722,1588,335,0.0482
SOC00052,CAMP01728,CUST00570,Facebook,2025-12-24,Story,73916,6496,6503,121,2170,0.2069
SOC00053,CAMP00155,CUST00103,Instagram,2025-09-13,Video,62254,5032,5982,1154,1692,0.2226
SOC00054,CAMP00711,CUST01797,LinkedIn,2025-03-23,Reel,56051,3783,11082,883,1662,0.3106
SOC00055,CAMP01190,CUST00972,LinkedIn,2025-08-01,Image,133805,13572,4120,1838,2134,0.1619
SOC00056,CAMP01770,CUST01457,X,2025-10-15,Image,18033,13115,9025,2189,4548,0.5
SOC00057,CAMP01832,CUST00090,LinkedIn,2026-04-09,Text,87942,9301,10737,2206,3496,0.2927
SOC00058,CAMP01091,CUST01923,Facebook,2025-01-23,Text,42701,14316,3495,1881,4070,0.5
SOC00059,CAMP00947,CUST01413,X,2025-09-16,Image,176954,2990,8906,1506,2904,0.0921
SOC00060,CAMP01591,CUST01938,X,2025-02-15,Text,112170,8181,4251,493,4176,0.1525
SOC00061,CAMP01455,CUST01167,YouTube,2026-01-09,Story,54695,10361,5368,1839,3687,0.3886
SOC00062,CAMP01419,CUST00007,YouTube,2025-04-21,Video,55091,11838,3569,363,456,0.2945
SOC00063,CAMP00028,CUST00755,X,2025-10-26,Reel,147868,5872,4036,1271,3270,0.0977
SOC00064,CAMP01849,CUST01187,Facebook,2025-09-11,Image,145378,3426,1520,354,2032,0.0504
SOC00065,CAMP00068,CUST01519,YouTube,2025-11-12,Video,176756,6171,9240,815,2461,0.1057
SOC00066,CAMP01409,CUST01597,Facebook,2026-05-03,Video,153789,10411,1910,2548,1771,0.1082
SOC00067,CAMP01323,CUST00400,LinkedIn,2025-04-20,Image,31297,14248,8829,28,378,0.5
SOC00068,CAMP01442,CUST01300,Facebook,2026-02-05,Text,95850,4636,8600,854,4379,0.1927
SOC00069,CAMP01860,CUST01810,Facebook,2025-08-10,Reel,1471,1471,10545,261,1141,0.5
SOC00070,CAMP01994,CUST00137,YouTube,2026-02-12,Text,181205,2599,6994,2985,1656,0.0786
SOC00071,CAMP00257,CUST00497,Instagram,2025-06-29,Image,152528,5495,1743,2618,3154,0.0853
SOC00072,CAMP01738,CUST01364,Facebook,2025-02-15,Story,163240,7320,3468,1664,4701,0.1051
SOC00073,CAMP01139,CUST01197,X,2025-07-14,Text,146537,8419,9359,513,1335,0.1339
SOC00074,CAMP01225,CUST00943,YouTube,2025-04-29,Reel,16475,479,3160,2996,4048,0.5
SOC00075,CAMP01976,CUST01503,X,2025-11-09,Image,134485,2454,9710,243,627,0.0969
SOC00076,CAMP01502,CUST01147,Instagram,2025-09-22,Story,160696,4385,8690,722,4343,0.1129
SOC00077,CAMP01857,CUST00076,Facebook,2026-06-06,Video,127710,7383,7599,1672,1136,0.1393
SOC00078,CAMP00511,CUST01589,X,2026-07-14,Story,166126,3376,1152,2846,532,0.0476
SOC00079,CAMP01679,CUST00853,Facebook,2025-04-13,Story,119443,1696,6712,448,2990,0.0992
SOC00080,CAMP01098,CUST00338,Facebook,2026-01-09,Image,69973,7458,2609,2768,4879,0.2532
SOC00081,CAMP00412,CUST00847,LinkedIn,2025-03-24,Story,80894,14591,11911,651,4704,0.3938
SOC00082,CAMP01964,CUST00716,X,2025-05-06,Video,99104,7451,4241,512,1849,0.1418
SOC00083,CAMP00640,CUST00978,LinkedIn,2025-05-25,Image,60623,13620,5249,2908,423,0.3662
SOC00084,CAMP00344,CUST00102,LinkedIn,2025-01-04,Story,14952,10222,10503,2958,401,0.5
SOC00085,CAMP01183,CUST00400,Facebook,2025-09-30,Video,98769,11865,409,391,988,0.1382
SOC00086,CAMP01794,CUST01144,YouTube,2025-02-08,Image,53918,1841,9817,1050,3117,0.2935
SOC00087,CAMP00968,CUST00677,Facebook,2025-08-07,Image,103677,11745,3413,1184,2255,0.1794
SOC00088,CAMP01488,CUST00177,X,2025-04-16,Story,190341,6628,1000,442,4322,0.0651
SOC00089,CAMP01910,CUST00529,X,2026-08-14,Text,135554,12164,2275,2776,455,0.1304
SOC00090,CAMP00579,CUST00505,Instagram,2026-01-10,Image,186676,690,6675,1094,3640,0.0648
SOC00091,CAMP00068,CUST01721,X,2025-02-09,Reel,165688,4222,2728,2417,4736,0.0851
SOC00092,CAMP01893,CUST01503,YouTube,2025-03-27,Text,136900,12016,10039,244,3526,0.1886
SOC00093,CAMP01365,CUST01406,YouTube,2026-06-02,Reel,28650,1003,876,1164,4735,0.2715
SOC00094,CAMP00851,CUST00227,X,2025-01-25,Image,4643,4643,6540,1792,4705,0.5
SOC00095,CAMP01667,CUST00516,Facebook,2025-12-04,Reel,32263,2615,382,570,1706,0.1634
SOC00096,CAMP00944,CUST00693,Instagram,2025-12-09,Video,5761,5761,5556,1799,4836,0.5
SOC00097,CAMP01824,CUST01018,Facebook,2026-02-27,Image,99922,12591,8845,1287,834,0.2358
SOC00098,CAMP00965,CUST01504,LinkedIn,2025-04-16,Video,119415,7799,10708,996,4119,0.1978
SOC00099,CAMP00555,CUST01253,Instagram,2026-08-14,Story,110503,614,10195,1189,4700,0.1511
SOC00100,CAMP00391,CUST01541,X,2025-05-14,Reel,46820,12736,8813,942,3920,0.5
SOC00101,CAMP00497,CUST01793,Instagram,2025-02-27,Image,86243,536,10277,838,3985,0.1813
SOC00102,CAMP01277,CUST01498,LinkedIn,2026-07-30,Video,130688,6897,6112,107,1752,0.1138
SOC00103,CAMP00302,CUST00570,X,2026-04-11,Text,60263,11193,10707,1638,3571,0.4498
SOC00104,CAMP01044,CUST01197,X,2026-05-01,Story,20081,3061,2114,1997,2313,0.4723
SOC00105,CAMP00210,CUST00889,LinkedIn,2026-06-21,Story,34082,761,5534,2803,844,0.2917
SOC00106,CAMP01966,CUST01394,X,2026-05-13,Reel,197505,12587,2144,751,2649,0.0918
SOC00107,CAMP00240,CUST01275,X,2026-08-05,Image,43383,12592,1756,1309,4411,0.4626
SOC00108,CAMP01551,CUST01331,Instagram,2025-01-19,Image,23823,716,2848,1419,2395,0.3097
SOC00109,CAMP00783,CUST00652,YouTube,2025-06-08,Reel,167407,1944,8868,1939,2358,0.0903
SOC00110,CAMP00877,CUST01093,Instagram,2026-08-02,Text,68004,8919,7039,1518,4035,0.3163
SOC00111,CAMP00183,CUST00409,X,2025-10-24,Story,191477,76,6762,1368,4841,0.0681
SOC00112,CAMP01779,CUST00775,Instagram,2025-10-14,Video,20439,14046,6570,2362,4966,0.5
SOC00113,CAMP01931,CUST01942,YouTube,2025-10-05,Reel,11763,6266,5144,417,4446,0.5
SOC00114,CAMP01850,CUST00222,YouTube,2025-02-22,Video,77425,4083,7601,1899,1028,0.1887
SOC00115,CAMP01870,CUST01514,YouTube,2025-11-23,Video,180201,3490,2012,573,1197,0.0404
SOC00116,CAMP01146,CUST01664,Instagram,2025-07-07,Text,67949,3801,2375,2912,3943,0.1918
SOC00117,CAMP01970,CUST01147,Facebook,2025-07-04,Text,144783,11333,3638,2048,3955,0.1449
SOC00118,CAMP01920,CUST00998,Instagram,2025-03-02,Story,129494,1590,6229,1896,3055,0.0986
SOC00119,CAMP01496,CUST01805,X,2026-04-07,Story,15887,8597,7668,2614,3384,0.5
SOC00120,CAMP01041,CUST01567,LinkedIn,2025-07-15,Image,171994,7558,7327,1071,3633,0.1139
SOC00121,CAMP00408,CUST01855,YouTube,2025-11-02,Text,24551,3225,1615,296,846,0.2437
SOC00122,CAMP00439,CUST00940,LinkedIn,2025-03-18,Story,162233,9563,10292,2609,2502,0.1539
SOC00123,CAMP00938,CUST01422,X,2025-02-24,Story,24198,5332,8745,2780,3001,0.5
SOC00124,CAMP01051,CUST01279,X,2025-05-30,Video,146843,7666,3313,1547,3480,0.109
SOC00125,CAMP01245,CUST01517,Facebook,2025-04-15,Story,179147,3225,1927,1340,1068,0.0422
SOC00126,CAMP00975,CUST01963,Facebook,2025-02-10,Video,199565,5085,3344,562,3126,0.0607
SOC00127,CAMP01542,CUST01056,X,2026-01-13,Story,134854,11094,11686,713,2097,0.1898
SOC00128,CAMP01026,CUST00191,Facebook,2025-06-02,Text,9677,6453,11913,1695,3278,0.5
SOC00129,CAMP01454,CUST01056,Instagram,2025-12-14,Text,7731,7731,5048,502,1244,0.5
SOC00130,CAMP00351,CUST00579,YouTube,2025-07-23,Text,158120,12509,757,368,4754,0.1163
SOC00131,CAMP01388,CUST00411,X,2026-06-29,Story,93772,9950,4161,825,1906,0.1796
SOC00132,CAMP00409,CUST00516,YouTube,2026-07-24,Story,26931,14159,5863,1035,228,0.5
SOC00133,CAMP01037,CUST01617,YouTube,2025-04-23,Reel,54268,4512,11557,727,1456,0.3363
SOC00134,CAMP00789,CUST01789,YouTube,2026-01-24,Video,122013,4899,11142,91,1480,0.1443
SOC00135,CAMP00422,CUST00618,X,2026-05-09,Story,19746,3680,8363,975,1744,0.5
SOC00136,CAMP01512,CUST00248,LinkedIn,2026-02-03,Reel,162421,9562,6598,234,3222,0.1208
SOC00137,CAMP01694,CUST01374,Instagram,2026-05-03,Text,157154,11500,6093,2252,229,0.1277
SOC00138,CAMP00464,CUST01679,X,2025-04-25,Text,132617,12373,6966,655,1911,0.1652
SOC00139,CAMP01393,CUST01956,X,2025-12-01,Text,110589,4929,1191,78,807,0.0633
SOC00140,CAMP00163,CUST00209,LinkedIn,2025-01-11,Text,23796,9518,3226,1865,2249,0.5
SOC00141,CAMP00901,CUST01361,X,2025-09-18,Video,80732,3732,6938,1152,1677,0.1672
SOC00142,CAMP00535,CUST01965,YouTube,2025-03-07,Video,37587,13332,8816,1479,2133,0.5
SOC00143,CAMP00168,CUST01610,Instagram,2025-08-27,Image,114188,1207,5124,1860,1949,0.0888
SOC00144,CAMP00794,CUST00290,YouTube,2026-02-13,Text,177513,9966,11542,1298,3891,0.1504
SOC00145,CAMP01511,CUST00139,YouTube,2026-06-27,Image,176828,4439,8998,304,4465,0.103
SOC00146,CAMP00112,CUST00075,YouTube,2025-04-25,Video,182227,3719,5593,1713,284,0.0621
SOC00147,CAMP01129,CUST01325,Instagram,2026-07-23,Text,69258,397,11753,1682,1877,0.2268
SOC00148,CAMP00821,CUST01831,Facebook,2025-02-27,Story,149544,9055,10389,586,2249,0.149
SOC00149,CAMP00465,CUST01327,X,2026-02-22,Story,89883,3539,6154,2243,1991,0.1549
SOC00150,CAMP01175,CUST01858,LinkedIn,2026-06-28,Text,59422,8387,426,2046,3334,0.2389
SOC00151,CAMP01296,CUST00399,YouTube,2026-05-30,Image,152758,4531,7009,2026,3523,0.1119
SOC00152,CAMP01650,CUST00916,Instagram,2025-08-10,Video,50842,5093,10099,1632,2046,0.3711
SOC00153,CAMP00840,CUST00086,X,2026-04-13,Reel,130175,2681,10766,1906,2936,0.1405
SOC00154,CAMP00969,CUST01238,Facebook,2026-02-06,Story,15344,1236,11493,418,324,0.5
SOC00155,CAMP00792,CUST01858,Instagram,2026-03-02,Image,120168,13088,882,356,858,0.1264
SOC00156,CAMP01463,CUST00389,LinkedIn,2026-03-30,Video,94107,12488,10202,1662,4748,0.3092
SOC00157,CAMP00505,CUST01948,YouTube,2025-05-24,Text,15796,10126,4870,2270,2843,0.5
SOC00158,CAMP01356,CUST01912,Instagram,2025-08-16,Video,79528,11888,1059,338,1895,0.1909
SOC00159,CAMP01713,CUST01523,X,2025-09-05,Image,182447,13190,5211,1858,4881,0.1378
SOC00160,CAMP01081,CUST01679,LinkedIn,2026-01-10,Image,49768,447,7639,2022,4701,0.2976
SOC00161,CAMP00547,CUST00178,X,2025-05-29,Video,79040,5588,7395,2997,288,0.2058
SOC00162,CAMP01120,CUST01775,LinkedIn,2025-03-21,Story,130392,10886,903,677,4607,0.1309
SOC00163,CAMP00860,CUST00646,Instagram,2026-03-25,Video,26299,747,1303,2355,826,0.1989
SOC00164,CAMP00581,CUST01691,YouTube,2025-08-07,Reel,42209,9843,822,146,682,0.2723
SOC00165,CAMP01811,CUST01428,X,2025-06-29,Story,63224,9493,939,2327,512,0.2099
SOC00166,CAMP00294,CUST01109,LinkedIn,2026-08-17,Image,18693,5471,937,562,3190,0.5
SOC00167,CAMP00753,CUST01791,LinkedIn,2026-02-24,Image,94970,13030,2321,1377,2813,0.2058
SOC00168,CAMP01060,CUST00665,LinkedIn,2026-02-24,Story,87034,11850,1723,1448,1434,0.1891
SOC00169,CAMP01396,CUST00279,X,2025-07-17,Reel,36269,10354,9088,2833,4302,0.5
SOC00170,CAMP00541,CUST01987,YouTube,2025-03-19,Reel,145685,12436,6436,2134,1029,0.1513
SOC00171,CAMP01642,CUST01859,X,2025-02-07,Reel,113400,1902,6816,1474,1871,0.1064
SOC00172,CAMP00741,CUST00797,X,2026-04-07,Reel,37605,12920,8962,1112,2807,0.5
SOC00173,CAMP01973,CUST01569,X,2026-06-16,Story,54075,9003,7167,2939,4517,0.4369
SOC00174,CAMP01499,CUST01944,YouTube,2026-05-19,Story,117980,1175,1963,1096,2681,0.0586
SOC00175,CAMP00503,CUST00469,Instagram,2025-09-05,Image,59118,8385,10696,2527,4216,0.4368
SOC00176,CAMP01341,CUST00467,Facebook,2025-08-15,Video,18395,5677,89,1318,4423,0.5
SOC00177,CAMP00085,CUST01703,Facebook,2025-05-18,Image,154550,8892,3666,593,2785,0.1031
SOC00178,CAMP00296,CUST01199,YouTube,2026-06-04,Image,54466,473,5123,2599,3385,0.2126
SOC00179,CAMP00027,CUST00035,Instagram,2025-11-16,Text,128450,83,2571,283,2114,0.0393
SOC00180,CAMP00260,CUST01102,Facebook,2025-03-10,Reel,167149,10963,5110,2401,3666,0.1325
SOC00181,CAMP01574,CUST00240,LinkedIn,2025-03-21,Text,14056,12215,2015,2389,1663,0.5
SOC00182,CAMP01714,CUST00532,LinkedIn,2025-02-03,Video,30220,6336,5263,2780,3954,0.5
SOC00183,CAMP01342,CUST01977,X,2025-01-07,Image,53590,5341,1372,2987,740,0.1948
SOC00184,CAMP00777,CUST00520,YouTube,2026-02-25,Image,133570,11245,6691,2356,338,0.1545
SOC00185,CAMP00969,CUST00639,Instagram,2025-01-15,Video,2378,2378,6726,102,251,0.5
SOC00186,CAMP00365,CUST01564,Facebook,2026-03-15,Reel,3841,3841,11660,1335,1813,0.5
SOC00187,CAMP00865,CUST00970,X,2026-08-14,Video,162777,8582,2044,2474,779,0.0853
SOC00188,CAMP01227,CUST00664,LinkedIn,2026-05-11,Reel,110244,1010,3400,1715,3056,0.0833
SOC00189,CAMP01572,CUST01823,LinkedIn,2026-04-20,Video,26823,10359,7487,1512,2845,0.5
SOC00190,CAMP01935,CUST01337,LinkedIn,2026-04-13,Text,49241,14158,6846,1655,3879,0.5
SOC00191,CAMP00833,CUST00886,Facebook,2026-05-19,Text,108304,11435,7159,681,1457,0.1914
SOC00192,CAMP01209,CUST01054,X,2025-02-10,Video,45276,7465,10119,2965,4029,0.5
SOC00193,CAMP00206,CUST00130,Instagram,2025-10-21,Story,26755,9330,5903,516,4154,0.5
SOC00194,CAMP01204,CUST00376,Facebook,2025-07-14,Text,101349,14508,5225,2212,4357,0.2595
SOC00195,CAMP00236,CUST01892,X,2025-11-13,Story,16356,8130,4133,208,4078,0.5
SOC00196,CAMP01778,CUST00563,LinkedIn,2025-08-14,Video,197553,2061,188,1600,3374,0.0366
SOC00197,CAMP00274,CUST01595,Instagram,2025-04-20,Video,148758,2521,4782,2956,417,0.0718
SOC00198,CAMP00399,CUST00645,LinkedIn,2025-12-29,Text,47629,5272,4228,1936,705,0.2549
SOC00199,CAMP00489,CUST00685,X,2025-10-24,Story,190497,12814,8683,2441,4650,0.1501
SOC00200,CAMP01124,CUST00542,Facebook,2025-05-07,Text,110805,6885,8445,2874,1387,0.1768
SOC00201,CAMP01405,CUST00182,LinkedIn,2025-12-12,Video,51824,10571,3253,1755,4780,0.3928
SOC00202,CAMP00482,CUST00204,X,2025-03-30,Video,76442,14101,2249,572,3034,0.2611
SOC00203,CAMP01566,CUST00069,Instagram,2026-05-06,Story,154790,10011,8136,2063,2877,0.1492
SOC00204,CAMP01367,CUST00018,LinkedIn,2025-12-27,Image,139279,1593,8001,2828,3156,0.1118
SOC00205,CAMP01295,CUST01544,Instagram,2026-05-24,Video,76422,14034,3457,2120,1788,0.28
SOC00206,CAMP01135,CUST01600,LinkedIn,2025-10-08,Story,185995,8230,633,1058,28,0.0535
SOC00207,CAMP01864,CUST00652,Facebook,2026-05-04,Text,14978,6736,5850,596,1200,0.5
SOC00208,CAMP01712,CUST00529,LinkedIn,2025-05-24,Text,85039,2009,8057,1045,2479,0.1598
SOC00209,CAMP01575,CUST00706,LinkedIn,2026-07-22,Video,54924,6938,2473,2247,1169,0.2335
SOC00210,CAMP01164,CUST01798,YouTube,2026-08-07,Image,181824,3369,6005,673,4891,0.0822
SOC00211,CAMP01120,CUST01522,YouTube,2026-06-24,Story,39082,5875,10950,760,2354,0.5
SOC00212,CAMP01200,CUST00054,Instagram,2026-03-22,Image,183459,9122,8434,1062,295,0.1031
SOC00213,CAMP01994,CUST01581,Facebook,2025-06-15,Story,148891,2116,10232,814,1997,0.1018
SOC00214,CAMP00973,CUST01569,YouTube,2026-01-09,Text,174421,4219,343,1518,1842,0.0454
SOC00215,CAMP01352,CUST00840,LinkedIn,2025-04-28,Video,76245,8150,11255,2009,3357,0.3249
SOC00216,CAMP00111,CUST00598,X,2025-08-10,Video,50340,4314,11425,512,2935,0.3811
SOC00217,CAMP01529,CUST01464,YouTube,2025-08-12,Text,36945,7566,7898,2453,2138,0.5
SOC00218,CAMP00942,CUST01343,YouTube,2025-03-28,Image,140593,10056,6966,506,4685,0.158
SOC00219,CAMP01984,CUST01205,Facebook,2025-02-19,Video,20844,4126,2071,2151,3161,0.5
SOC00220,CAMP00087,CUST01389,X,2025-05-12,Story,68338,12128,8026,863,373,0.313
SOC00221,CAMP01973,CUST00192,LinkedIn,2026-05-10,Image,88853,4356,7541,1782,1660,0.1726
SOC00222,CAMP01228,CUST00436,LinkedIn,2025-11-25,Video,38676,530,9786,23,4181,0.3754
SOC00223,CAMP00411,CUST01451,X,2025-10-05,Text,91217,13066,2326,524,3493,0.2128
SOC00224,CAMP00471,CUST00404,YouTube,2026-07-13,Video,92823,3383,601,1938,1541,0.0804
SOC00225,CAMP00367,CUST00115,Facebook,2025-03-13,Reel,31720,6120,5631,400,1407,0.4274
SOC00226,CAMP00027,CUST01701,Instagram,2025-03-26,Image,96781,7911,1927,603,1494,0.1233
SOC00227,CAMP00102,CUST01446,LinkedIn,2025-09-29,Image,112613,11273,10484,2267,2870,0.2388
SOC00228,CAMP01524,CUST00454,Instagram,2026-02-19,Video,129630,13643,1900,2619,1360,0.1506
SOC00229,CAMP00410,CUST01870,X,2025-11-25,Text,51471,6168,2249,2425,2172,0.2528
SOC00230,CAMP00658,CUST00242,YouTube,2026-05-29,Image,64909,5576,1897,1135,4430,0.2009
SOC00231,CAMP00849,CUST01232,Instagram,2025-08-04,Reel,186080,3061,10546,1722,3004,0.0985
SOC00232,CAMP01303,CUST01379,LinkedIn,2026-02-19,Video,16944,4345,1056,1364,828,0.4481
SOC00233,CAMP01596,CUST00840,Facebook,2025-07-07,Image,60024,8385,5793,377,2892,0.2907
SOC00234,CAMP01374,CUST00435,LinkedIn,2025-06-03,Story,58634,1429,11041,2784,363,0.2663
SOC00235,CAMP01695,CUST00006,Facebook,2025-09-21,Reel,48740,12968,3763,2329,2668,0.4458
SOC00236,CAMP00999,CUST01448,LinkedIn,2025-12-15,Reel,163889,3159,4187,75,3980,0.0696
SOC00237,CAMP00964,CUST01716,Facebook,2025-05-30,Reel,179236,8876,8098,30,1856,0.1052
SOC00238,CAMP00002,CUST00918,Facebook,2026-07-26,Text,172865,7466,1372,2122,4363,0.0886
SOC00239,CAMP01233,CUST00650,YouTube,2025-08-13,Reel,39407,2672,6781,993,4504,0.3794
SOC00240,CAMP01600,CUST00724,YouTube,2025-10-21,Story,14851,4422,8550,1517,1285,0.5
SOC00241,CAMP01288,CUST01546,YouTube,2026-02-25,Image,175875,7804,4909,1371,1564,0.089
SOC00242,CAMP00747,CUST00123,YouTube,2025-07-08,Story,41419,8915,4406,1909,4865,0.4852
SOC00243,CAMP01316,CUST01961,X,2026-06-23,Text,159307,2636,1832,2484,1075,0.0504
SOC00244,CAMP00509,CUST00589,Instagram,2026-03-29,Text,12940,4541,2474,2910,4663,0.5
SOC00245,CAMP00106,CUST01971,YouTube,2025-02-01,Reel,121359,7252,3592,701,2209,0.1133
SOC00246,CAMP01486,CUST00524,Instagram,2025-08-27,Reel,100461,3590,11145,388,606,0.1566
SOC00247,CAMP01023,CUST00816,X,2026-08-02,Reel,173982,2149,1862,859,4694,0.055
SOC00248,CAMP01579,CUST01493,YouTube,2026-03-30,Story,35445,9672,10171,2025,778,0.5
SOC00249,CAMP01272,CUST00465,X,2025-09-09,Image,16478,2911,3956,878,3072,0.5
SOC00250,CAMP01626,CUST01001,LinkedIn,2026-07-25,Text,155871,10895,7106,2113,1897,0.1412
SOC00251,CAMP01508,CUST00719,YouTube,2026-05-19,Reel,76476,2154,9533,629,4890,0.225
SOC00252,CAMP01539,CUST01826,Facebook,2025-11-01,Reel,164562,13794,5975,1359,3361,0.1488
SOC00253,CAMP01752,CUST00593,Facebook,2026-01-28,Image,57368,8008,11592,302,4013,0.4169
SOC00254,CAMP00372,CUST00165,YouTube,2026-02-28,Video,100009,8492,1237,538,36,0.103
SOC00255,CAMP01017,CUST01605,LinkedIn,2026-05-06,Story,109389,6013,7751,2902,1803,0.1688
SOC00256,CAMP01555,CUST01022,X,2025-04-06,Text,93610,14215,5777,516,3060,0.2518
SOC00257,CAMP00926,CUST00371,YouTube,2025-04-03,Story,125358,1119,6262,1272,1824,0.0836
SOC00258,CAMP00489,CUST00481,Instagram,2025-08-11,Image,107733,3260,4960,1260,4279,0.1277
SOC00259,CAMP01967,CUST00272,Facebook,2025-03-16,Video,86005,10992,10069,2070,4067,0.3162
SOC00260,CAMP00614,CUST00926,Instagram,2025-05-05,Image,48738,7939,6049,2025,2390,0.3776
SOC00261,CAMP00983,CUST00340,LinkedIn,2025-01-29,Story,35420,8120,10072,1510,1844,0.5
SOC00262,CAMP00519,CUST00397,LinkedIn,2026-07-10,Reel,138849,6933,4865,1649,401,0.0997
