opportunity_id,lead_id,customer_id,product,opportunity_stage,opportunity_value,probability,created_date,sales_agent
OPP00065,LEAD01645,CUST00983,Cloud Subscription,Prospecting,55378.02,44,2025-07-13,Agent B
OPP00066,LEAD00231,CUST01523,Analytics Suite,Qualification,11034.93,83,2025-06-06,Agent D
OPP00067,LEAD00201,CUST00381,AI Platform,Qualification,136819.99,89,2025-06-25,Agent A
OPP00068,LEAD00125,CUST00064,Analytics Suite,Proposal,222668.65,51,2025-09-14,Agent B
OPP00069,LEAD01024,CUST00542,AI Platform,Lost,31128.24,21,2025-01-13,Agent A
OPP00070,LEAD00151,CUST00417,Support Package,Qualification,118344.47,31,2025-11-14,Agent E
OPP00071,LEAD01165,CUST01597,Cloud Subscription,Prospecting,178623.25,79,2026-05-22,Agent A
OPP00072,LEAD00335,CUST01637,Laptop,Proposal,71638.75,29,2025-02-17,Agent B
OPP00073,LEAD01782,CUST01269,CRM License,Won,222031.18,79,2025-08-21,Agent E
OPP00074,LEAD00865,CUST01820,CRM License,Proposal,76565.92,68,2025-07-19,Agent B
OPP00075,LEAD00188,CUST00930,AI Platform,Won,253794.88,48,2025-12-21,Agent E
OPP00076,LEAD01388,CUST00481,CRM License,Prospecting,110999.27,17,2025-05-30,Agent E
OPP00077,LEAD00678,CUST00664,CRM License,Qualification,183608.05,56,2025-06-29,Agent A
OPP00078,LEAD00524,CUST00284,AI Platform,Lost,167804.66,71,2026-03-20,Agent C
OPP00079,LEAD01319,CUST01802,Laptop,Qualification,95969.55,19,2025-04-15,Agent C
OPP00080,LEAD01912,CUST01209,CRM License,Qualification,137330.77,84,2026-07-10,Agent E
OPP00081,LEAD01960,CUST01546,AI Platform,Qualification,255332.2,23,2025-06-27,Agent A
OPP00082,LEAD00872,CUST00564,AI Platform,Qualification,169019.84,44,2026-05-02,Agent A
OPP00083,LEAD01697,CUST01437,Analytics Suite,Prospecting,26120.22,56,2025-02-18,Agent B
OPP00084,LEAD00419,CUST00662,CRM License,Prospecting,216779.36,75,2025-07-10,Agent A
OPP00085,LEAD01693,CUST00893,Support Package,Lost,62911.22,26,2025-08-13,Agent C
OPP00086,LEAD01885,CUST01304,Cloud Subscription,Lost,150958.2,37,2025-09-29,Agent A
OPP00087,LEAD01035,CUST01963,Cloud Subscription,Prospecting,145876.28,82,2025-02-24,Agent B
OPP00088,LEAD01047,CUST01117,AI Platform,Qualification,151081.21,36,2025-05-28,Agent A
OPP00089,LEAD01129,CUST01421,Support Package,Won,18994.06,64,2026-06-07,Agent A
OPP00090,LEAD00147,CUST01190,Analytics Suite,Qualification,88992.67,43,2026-07-05,Agent D
OPP00091,LEAD01718,CUST00848,Laptop,Won,24713.29,10,2025-09-20,Agent C
OPP00092,LEAD01476,CUST01866,Support Package,Won,130337.44,54,2025-03-12,Agent E
OPP00093,LEAD01740,CUST01922,Support Package,Lost,190187.65,39,2025-06-14,Agent B
OPP00094,LEAD00231,CUST00621,Analytics Suite,Lost,199681.5,30,2026-07-22,Agent B
OPP00095,LEAD01605,CUST01792,Cloud Subscription,Won,28718.92,87,2026-07-02,Agent D
OPP00096,LEAD00726,CUST00903,Laptop,Prospecting,44477.84,79,2026-04-30,Agent A
OPP00097,LEAD01638,CUST01480,CRM License,Proposal,201836.97,31,2026-05-30,Agent A
OPP00098,LEAD01988,CUST01035,Cloud Subscription,Qualification,164044.42,55,2026-03-01,Agent E
OPP00099,LEAD01760,CUST01534,Laptop,Prospecting,251689.48,74,2026-01-07,Agent E
OPP00100,LEAD01832,CUST01744,Cloud Subscription,Prospecting,69491.23,10,2026-04-07,Agent C
OPP00101,LEAD00228,CUST00848,Laptop,Negotiation,44899.26,14,2026-01-21,Agent B
OPP00102,LEAD00658,CUST01402,Cloud Subscription,Lost,114987.0,56,2025-07-22,Agent D
OPP00103,LEAD00586,CUST01015,CRM License,Negotiation,194749.47,94,2026-01-18,Agent A
OPP00104,LEAD01028,CUST01599,Cloud Subscription,Prospecting,150930.5,94,2025-06-26,Agent C
OPP00105,LEAD01953,CUST00384,AI Platform,Won,38592.05,48,2026-01-08,Agent D
OPP00106,LEAD01372,CUST01459,AI Platform,Prospecting,30674.71,72,2025-08-16,Agent A
OPP00107,LEAD01090,CUST01191,Cloud Subscription,Prospecting,206531.15,52,2025-10-18,Agent D
OPP00108,LEAD01610,CUST00903,CRM License,Prospecting,96120.78,91,2025-04-19,Agent B
OPP00109,LEAD00353,CUST00740,Analytics Suite,Proposal,204149.92,59,2026-07-25,Agent B
OPP00110,LEAD01322,CUST01404,Support Package,Lost,95525.32,90,2026-03-21,Agent D
OPP00111,LEAD01007,CUST00695,CRM License,Negotiation,101290.32,39,2025-03-05,Agent B
OPP00112,LEAD00407,CUST00066,Laptop,Qualification,70846.27,94,2025-10-11,Agent C
OPP00113,LEAD01292,CUST01897,Support Package,Negotiation,295277.92,74,2025-09-28,Agent E
OPP00114,LEAD01681,CUST00896,Laptop,Lost,14660.38,78,2026-06-12,Agent C
OPP00115,LEAD01657,CUST00330,Support Package,Lost,46903.21,6,2026-03-27,Agent B
OPP00116,LEAD01687,CUST00452,Support Package,Prospecting,252524.15,82,2026-06-08,Agent E
OPP00117,LEAD01625,CUST01660,Support Package,Qualification,50066.9,20,2025-10-06,Agent A
OPP00118,LEAD00938,CUST00664,Cloud Subscription,Prospecting,91402.1,94,2025-04-03,Agent B
OPP00119,LEAD00099,CUST00563,AI Platform,Prospecting,86207.64,23,2026-03-06,Agent E
OPP00120,LEAD01931,CUST00975,Laptop,Proposal,212125.82,84,2025-05-11,Agent B
OPP00121,LEAD00908,CUST00058,Support Package,Lost,129248.34,65,2026-01-15,Agent C
OPP00122,LEAD01266,CUST01121,Analytics Suite,Prospecting,253770.47,42,2025-09-02,Agent D
OPP00123,LEAD00042,CUST00081,CRM License,Negotiation,226753.89,90,2025-07-28,Agent B
OPP00124,LEAD01778,CUST01672,Cloud Subscription,Qualification,164019.39,42,2025-03-12,Agent E
OPP00125,LEAD01777,CUST00859,Support Package,Prospecting,82227.91,11,2026-04-22,Agent B
OPP00126,LEAD01857,CUST00437,Analytics Suite,Lost,239801.45,12,2026-02-15,Agent E
OPP00127,LEAD00348,CUST00909,AI Platform,Proposal,261137.26,86,2025-07-23,Agent A
OPP00128,LEAD01686,CUST00352,Laptop,Won,252521.93,41,2026-03-16,Agent E
OPP00129,LEAD01250,CUST00641,Support Package,Proposal,24996.99,83,2026-08-11,Agent A
OPP00130,LEAD00293,CUST00262,Analytics Suite,Proposal,212408.02,6,2026-03-06,Agent A
OPP00131,LEAD01142,CUST01338,Laptop,Proposal,214142.2,12,2026-07-20,Agent B
OPP00132,LEAD00953,CUST01953,Cloud Subscription,Won,283491.91,99,2025-10-08,Agent B
OPP00133,LEAD01252,CUST00971,Analytics Suite,Negotiation,86408.73,18,2025-08-13,Agent E
OPP00134,LEAD00168,CUST00198,CRM License,Proposal,238040.58,71,2026-05-18,Agent A
OPP00135,LEAD01127,CUST00149,AI Platform,Proposal,209837.99,38,2026-01-31,Agent A
OPP00136,LEAD01355,CUST01665,CRM License,Prospecting,264830.82,53,2025-12-28,Agent B
OPP00137,LEAD01432,CUST00697,Cloud Subscription,Proposal,211059.33,16,2026-01-18,Agent C
OPP00138,LEAD01539,CUST00593,Cloud Subscription,Prospecting,257211.82,30,2026-08-16,Agent B
OPP00139,LEAD01253,CUST00204,Cloud Subscription,Lost,114276.85,77,2026-02-14,Agent B
OPP00140,LEAD01403,CUST01328,AI Platform,Prospecting,55711.08,56,2026-05-02,Agent D
OPP00141,LEAD00181,CUST00126,Support Package,Prospecting,115372.09,53,2025-01-22,Agent E
OPP00142,LEAD01596,CUST01809,AI Platform,Negotiation,246364.99,95,2026-03-07,Agent D
OPP00143,LEAD00734,CUST00417,Cloud Subscription,Prospecting,48178.49,44,2025-07-09,Agent E
OPP00144,LEAD01096,CUST00139,Laptop,Negotiation,195004.1,82,2025-03-15,Agent B
OPP00145,LEAD01094,CUST01402,Laptop,Qualification,296391.26,74,2025-06-14,Agent D
OPP00146,LEAD01953,CUST00709,Analytics Suite,Negotiation,269554.31,49,2026-05-12,Agent E
OPP00147,LEAD00651,CUST01393,Laptop,Prospecting,204643.17,33,2026-05-03,Agent C
OPP00148,LEAD00769,CUST00080,Analytics Suite,Qualification,239862.79,38,2025-07-02,Agent C
OPP00149,LEAD01521,CUST01723,CRM License,Negotiation,43778.17,88,2025-04-25,Agent A
OPP00150,LEAD01269,CUST00620,Support Package,Won,154661.79,34,2025-09-07,Agent C
OPP00151,LEAD00636,CUST01513,CRM License,Prospecting,164254.6,67,2025-07-17,Agent D
OPP00152,LEAD00689,CUST01872,Analytics Suite,Negotiation,236981.77,16,2025-10-03,Agent B
OPP00153,LEAD01658,CUST01071,Laptop,Won,91952.07,38,2025-07-17,Agent A
OPP00154,LEAD01672,CUST00669,CRM License,Lost,40880.73,94,2025-04-14,Agent C
OPP00155,LEAD00294,CUST00626,Laptop,Lost,212453.01,56,2025-03-06,Agent A
OPP00156,LEAD00800,CUST01373,AI Platform,Lost,152852.3,83,2026-02-13,Agent A
OPP00157,LEAD01539,CUST00012,Support Package,Prospecting,254265.28,29,2025-04-29,Agent C
OPP00158,LEAD00238,CUST00294,CRM License,Proposal,149632.01,78,2025-05-11,Agent D
OPP00159,LEAD00367,CUST01295,Analytics Suite,Proposal,255418.53,99,2026-04-24,Agent A
OPP00160,LEAD00318,CUST00052,Analytics Suite,Negotiation,157272.15,93,2025-02-25,Agent B
OPP00161,LEAD01057,CUST00580,Cloud Subscription,Proposal,236982.57,46,2026-01-24,Agent A
OPP00162,LEAD00902,CUST01296,Support Package,Prospecting,219016.1,70,2025-01-07,Agent D
OPP00163,LEAD00642,CUST00501,AI Platform,Negotiation,87163.94,91,2026-07-16,Agent E
OPP00164,LEAD00272,CUST01862,Laptop,Lost,99725.51,83,2026-03-02,Agent E
OPP00165,LEAD01275,CUST01950,CRM License,Qualification,270766.7,98,2026-05-05,Agent E
OPP00166,LEAD01615,CUST00068,AI Platform,Proposal,76992.07,8,2026-02-02,Agent E
OPP00167,LEAD00426,CUST00349,Cloud Subscription,Proposal,212275.16,56,2025-08-28,Agent C
OPP00168,LEAD01333,CUST01815,CRM License,Prospecting,52084.84,80,2026-08-17,Agent B
OPP00169,LEAD01591,CUST00065,AI Platform,Proposal,228995.93,75,2026-04-14,Agent D
OPP00170,LEAD01115,CUST00974,AI Platform,Won,74754.06,19,2025-02-22,Agent C
OPP00171,LEAD01148,CUST01899,CRM License,Proposal,182278.96,59,2025-12-10,Agent E
OPP00172,LEAD00334,CUST01178,AI Platform,Qualification,173630.61,20,2025-11-20,Agent B
OPP00173,LEAD01915,CUST00613,Cloud Subscription,Won,69019.13,13,2025-06-20,Agent E
OPP00174,LEAD01914,CUST00013,Cloud Subscription,Negotiation,152506.96,15,2025-09-29,Agent D
OPP00175,LEAD01424,CUST00787,Support Package,Lost,264981.93,96,2026-08-05,Agent B
OPP00176,LEAD01806,CUST01084,Support Package,Won,207353.51,31,2025-02-21,Agent C
OPP00177,LEAD01215,CUST00162,Analytics Suite,Qualification,297869.78,48,2026-07-08,Agent A
OPP00178,LEAD01323,CUST01057,Analytics Suite,Won,237520.74,29,2026-02-22,Agent C
OPP00179,LEAD01659,CUST00809,CRM License,Negotiation,196602.08,90,2025-03-08,Agent B
OPP00180,LEAD00077,CUST00652,Analytics Suite,Won,173328.6,90,2025-07-01,Agent C
OPP00181,LEAD00440,CUST01945,CRM License,Proposal,281854.31,67,2026-05-16,Agent B
OPP00182,LEAD00407,CUST01788,Support Package,Won,162833.9,84,2026-02-24,Agent D
OPP00183,LEAD01266,CUST01389,Support Package,Proposal,126775.1,15,2025-02-16,Agent A
OPP00184,LEAD00485,CUST01182,Support Package,Prospecting,252003.14,100,2025-03-29,Agent A
OPP00185,LEAD00781,CUST00948,Analytics Suite,Qualification,282670.88,45,2026-07-08,Agent A
OPP00186,LEAD00988,CUST00141,AI Platform,Qualification,148885.9,43,2025-04-04,Agent D
OPP00187,LEAD01488,CUST00615,CRM License,Won,49799.17,23,2026-01-08,Agent A
OPP00188,LEAD01035,CUST00021,Cloud Subscription,Lost,186428.12,89,2026-08-17,Agent D
OPP00189,LEAD00049,CUST00733,CRM License,Proposal,224855.86,21,2025-04-10,Agent E
OPP00190,LEAD01374,CUST00948,CRM License,Qualification,118354.46,87,2025-01-27,Agent D
OPP00191,LEAD00856,CUST01223,AI Platform,Lost,226884.87,73,2026-05-03,Agent E
OPP00192,LEAD00227,CUST00710,Cloud Subscription,Prospecting,164004.89,79,2026-07-21,Agent D
OPP00193,LEAD01304,CUST00509,Analytics Suite,Qualification,97393.28,7,2025-11-04,Agent C
OPP00194,LEAD00541,CUST01421,Cloud Subscription,Lost,192561.16,75,2025-05-20,Agent B
OPP00195,LEAD00922,CUST00304,CRM License,Won,122794.79,97,2025-02-05,Agent D
OPP00196,LEAD01935,CUST00251,Analytics Suite,Qualification,238179.4,42,2026-06-28,Agent B
OPP00197,LEAD00476,CUST01393,AI Platform,Proposal,10893.21,48,2026-04-21,Agent D
OPP00198,LEAD01771,CUST01172,CRM License,Negotiation,247271.65,15,2026-06-19,Agent C
OPP00199,LEAD00929,CUST01739,Laptop,Qualification,98906.83,52,2026-04-15,Agent E
OPP00200,LEAD01866,CUST01478,Laptop,Qualification,288291.7,69,2025-09-15,Agent B
OPP00201,LEAD01700,CUST01804,Analytics Suite,Prospecting,230157.81,33,2025-10-15,Agent A
OPP00202,LEAD01665,CUST01329,CRM License,Qualification,79901.68,76,2025-08-16,Agent D
OPP00203,LEAD00414,CUST01683,Analytics Suite,Negotiation,293851.76,13,2026-03-12,Agent A
OPP00204,LEAD01582,CUST00339,Support Package,Proposal,154878.37,69,2025-03-01,Agent E
OPP00205,LEAD00735,CUST01062,Cloud Subscription,Prospecting,161647.9,61,2025-01-24,Agent A
OPP00206,LEAD01821,CUST01890,Analytics Suite,Proposal,273760.26,27,2026-07-27,Agent E
OPP00207,LEAD01981,CUST01578,AI Platform,Negotiation,276336.89,38,2025-07-09,Agent C
OPP00208,LEAD01224,CUST00807,Analytics Suite,Prospecting,212095.93,28,2025-01-21,Agent D
OPP00209,LEAD01826,CUST01853,Cloud Subscription,Proposal,293750.4,64,2026-02-06,Agent D
OPP00210,LEAD01067,CUST00626,CRM License,Won,105372.39,66,2025-08-26,Agent B
OPP00211,LEAD00068,CUST00047,Support Package,Lost,77377.61,58,2025-05-18,Agent E
OPP00212,LEAD01748,CUST01594,Analytics Suite,Lost,18484.45,23,2025-09-16,Agent D
OPP00213,LEAD01061,CUST00825,Cloud Subscription,Won,110440.03,25,2025-09-26,Agent D
OPP00214,LEAD00089,CUST00069,Analytics Suite,Qualification,184763.67,82,2025-12-31,Agent E
OPP00215,LEAD00131,CUST00409,Laptop,Lost,98559.92,49,2026-07-10,Agent D
OPP00216,LEAD01447,CUST00144,Support Package,Won,178089.87,46,2026-06-10,Agent B
OPP00217,LEAD01848,CUST01994,AI Platform,Won,24031.87,34,2026-05-08,Agent C
OPP00218,LEAD01395,CUST01696,Cloud Subscription,Lost,112686.41,94,2025-10-21,Agent D
OPP00219,LEAD00884,CUST01860,CRM License,Proposal,226921.42,28,2025-11-29,Agent D
OPP00220,LEAD00614,CUST00365,Analytics Suite,Prospecting,40254.79,78,2025-03-20,Agent C
OPP00221,LEAD00837,CUST01605,Cloud Subscription,Negotiation,217302.86,78,2026-02-05,Agent D
OPP00222,LEAD00646,CUST01128,Cloud Subscription,Negotiation,231360.22,28,2026-06-13,Agent C
OPP00223,LEAD00546,CUST00592,Laptop,Negotiation,174940.84,6,2025-01-28,Agent A
OPP00224,LEAD00257,CUST01338,Analytics Suite,Negotiation,266965.39,28,2026-05-30,Agent B
OPP00225,LEAD01138,CUST01905,Support Package,Lost,286823.42,30,2025-11-05,Agent C
OPP00226,LEAD00437,CUST00922,Support Package,Won,20056.47,76,2025-02-22,Agent B
OPP00227,LEAD00290,CUST00059,Analytics Suite,Qualification,206934.08,55,2026-08-17,Agent E
OPP00228,LEAD00552,CUST01685,Analytics Suite,Won,78780.61,46,2025-10-05,Agent A
OPP00229,LEAD01598,CUST00377,CRM License,Lost,128373.16,50,2025-09-03,Agent C
OPP00230,LEAD01146,CUST00366,Support Package,Negotiation,190714.74,96,2025-04-24,Agent B
OPP00231,LEAD00983,CUST01234,Support Package,Qualification,216558.96,95,2025-02-13,Agent E
OPP00232,LEAD01184,CUST01598,AI Platform,Negotiation,253655.37,7,2025-02-19,Agent B
OPP00233,LEAD01133,CUST01587,CRM License,Qualification,214562.21,85,2025-06-09,Agent A
OPP00234,LEAD00996,CUST01736,Cloud Subscription,Qualification,235445.71,39,2025-06-24,Agent E
OPP00235,LEAD01682,CUST01768,Support Package,Lost,183730.65,77,2025-10-03,Agent E
OPP00236,LEAD01461,CUST00257,CRM License,Lost,43947.13,99,2025-12-30,Agent C
OPP00237,LEAD00371,CUST00602,Cloud Subscription,Lost,16214.79,54,2026-08-15,Agent C
OPP00238,LEAD01635,CUST01441,Laptop,Negotiation,163637.08,64,2026-04-19,Agent C
OPP00239,LEAD00351,CUST00782,Laptop,Prospecting,217506.9,46,2025-10-17,Agent A
OPP00240,LEAD00157,CUST01432,Analytics Suite,Won,41571.02,12,2026-06-28,Agent C
OPP00241,LEAD00842,CUST00910,AI Platform,Qualification,134495.82,8,2025-11-29,Agent A
OPP00242,LEAD00786,CUST00903,Support Package,Proposal,84291.45,39,2025-09-10,Agent A
OPP00243,LEAD01573,CUST00054,CRM License,Qualification,174456.98,83,2025-05-10,Agent B
OPP00244,LEAD01391,CUST01217,Support Package,Lost,123245.8,37,2025-09-09,Agent B
OPP00245,LEAD00118,CUST01728,AI Platform,Won,68425.58,46,2025-01-25,Agent D
OPP00246,LEAD00998,CUST01638,CRM License,Lost,11273.89,55,2025-04-02,Agent C
OPP00247,LEAD01591,CUST00676,CRM License,Lost,103242.28,35,2026-07-18,Agent D
OPP00248,LEAD01467,CUST01354,Cloud Subscription,Won,159687.02,52,2025-04-27,Agent D
OPP00249,LEAD01002,CUST00399,AI Platform,Proposal,279470.63,63,2025-12-04,Agent B
OPP00250,LEAD01232,CUST01268,CRM License,Negotiation,75968.04,86,2025-03-03,Agent D
OPP00251,LEAD01124,CUST00819,Support Package,Prospecting,158553.97,77,2025-12-25,Agent C
OPP00252,LEAD00463,CUST01854,AI Platform,Qualification,174283.99,83,2026-08-05,Agent D
OPP00253,LEAD01129,CUST01422,CRM License,Lost,198276.02,55,2025-09-30,Agent A
OPP00254,LEAD01351,CUST00147,Support Package,Proposal,105284.24,72,2025-03-18,Agent C
OPP00255,LEAD00113,CUST01742,Analytics Suite,Lost,38849.73,19,2025-01-14,Agent A
OPP00256,LEAD01391,CUST01449,AI Platform,Lost,277193.31,19,2026-03-27,Agent A
OPP00257,LEAD00500,CUST00431,Support Package,Prospecting,286299.07,93,2025-03-03,Agent B
OPP00258,LEAD00016,CUST00566,CRM License,Qualification,137087.03,62,2025-07-09,Agent A
OPP00259,LEAD01511,CUST00346,Analytics Suite,Proposal,178366.74,15,2026-05-18,Agent C
OPP00260,LEAD00780,CUST00621,CRM License,Proposal,18417.65,44,2025-11-17,Agent A
OPP00261,LEAD00825,CUST01888,Support Package,Lost,23692.54,98,2026-06-05,Agent C
OPP00262,LEAD01249,CUST01805,CRM License,Proposal,32233.55,7,2026-06-05,Agent E
OPP00263,LEAD01122,CUST01102,CRM License,Qualification,224236.43,47,2026-01-30,Agent B
OPP00264,LEAD01242,CUST00725,CRM License,Prospecting,75898.0,85,2026-07-12,Agent D
OPP00265,LEAD01890,CUST00732,AI Platform,Proposal,63489.69,95,2025-01-22,Agent A
OPP00266,LEAD01303,CUST01914,AI Platform,Lost,12417.25,40,2025-05-24,Agent B
OPP00267,LEAD00093,CUST00399,Analytics Suite,Prospecting,16640.29,92,2025-06-15,Agent D
OPP00268,LEAD00445,CUST01516,AI Platform,Lost,127561.29,73,2026-06-28,Agent C
OPP00269,LEAD00900,CUST01991,AI Platform,Won,167086.6,44,2026-01-06,Agent C
OPP00270,LEAD00945,CUST01711,Cloud Subscription,Qualification,177927.16,79,2025-05-31,Agent C
OPP00271,LEAD00723,CUST01439,Cloud Subscription,Negotiation,142794.24,81,2025-05-05,Agent C
OPP00272,LEAD00369,CUST01800,CRM License,Lost,143272.77,31,2026-04-25,Agent A
OPP00273,LEAD00213,CUST00436,CRM License,Lost,228411.23,13,2026-05-27,Agent A
OPP00274,LEAD00290,CUST01968,AI Platform,Lost,93975.34,79,2025-01-10,Agent B
OPP00275,LEAD01902,CUST00183,Cloud Subscription,Negotiation,78938.17,12,2025-08-06,Agent C
OPP00276,LEAD00792,CUST00028,AI Platform,Prospecting,257754.01,79,2025-11-15,Agent E
OPP00277,LEAD01923,CUST00399,Laptop,Prospecting,209886.5,39,2025-05-21,Agent E
OPP00278,LEAD00670,CUST01218,Support Package,Lost,148291.27,72,2026-03-09,Agent A
OPP00279,LEAD00623,CUST00496,Support Package,Prospecting,89867.4,63,2026-03-28,Agent D
OPP00280,LEAD00980,CUST01268,Cloud Subscription,Lost,49608.73,8,2026-05-16,Agent E
OPP00281,LEAD01894,CUST00223,AI Platform,Prospecting,20852.15,5,2026-04-14,Agent A
OPP00282,LEAD01127,CUST01395,Cloud Subscription,Prospecting,257185.95,65,2026-05-17,Agent C
