campaign_id,company,campaign_type,target_audience,duration_days,channel_used,conversion_rate,acquisition_cost,roi,location
CAMP00062,Alpha Corp,Email,18-25,35,Facebook,0.1127,14442.23,5.63,Australia
CAMP00063,Beta Ltd,Social Media,46-60,33,LinkedIn,0.2999,5694.85,9.04,UK
CAMP00064,Delta Solutions,Display,18-25,36,LinkedIn,0.2992,7145.35,1.8,USA
CAMP00065,Alpha Corp,Email,46-60,9,Facebook,0.1818,7460.64,5.31,India
CAMP00066,Beta Ltd,Social Media,18-25,43,Facebook,0.2539,3974.34,8.37,Germany
CAMP00067,Alpha Corp,Search,18-25,10,YouTube,0.1071,24160.16,6.4,India
CAMP00068,Alpha Corp,Email,36-45,56,Google,0.1286,17458.9,9.86,USA
CAMP00069,Delta Solutions,Display,18-25,22,LinkedIn,0.331,3215.62,6.16,Australia
CAMP00070,Delta Solutions,Social Media,18-25,57,LinkedIn,0.2603,9250.42,9.62,Australia
CAMP00071,Alpha Corp,Email,46-60,37,Facebook,0.0345,4728.77,1.44,Germany
CAMP00072,Alpha Corp,Email,36-45,28,LinkedIn,0.1656,6242.46,0.9,UK
CAMP00073,Alpha Corp,Search,36-45,17,YouTube,0.1446,23517.21,3.89,UK
CAMP00074,Gamma Inc,Influencer,46-60,38,Instagram,0.0885,3850.45,8.49,India
CAMP00075,Delta Solutions,Search,46-60,10,Email,0.3483,22055.39,0.98,USA
CAMP00076,Delta Solutions,Influencer,36-45,26,Google,0.0562,21124.96,2.9,India
CAMP00077,Alpha Corp,Display,36-45,44,YouTube,0.1169,18719.87,9.86,UK
CAMP00078,Alpha Corp,Display,36-45,59,Facebook,0.2986,12669.69,6.59,Germany
CAMP00079,Gamma Inc,Email,36-45,44,Instagram,0.055,6830.01,4.23,USA
CAMP00080,Gamma Inc,Social Media,18-25,13,YouTube,0.1379,20859.01,1.24,USA
CAMP00081,Delta Solutions,Email,46-60,66,Email,0.2256,20934.84,7.67,UK
CAMP00082,Alpha Corp,Email,26-35,41,Google,0.1245,13370.24,9.29,USA
CAMP00083,Alpha Corp,Search,26-35,58,YouTube,0.149,1666.53,7.54,Australia
CAMP00084,Gamma Inc,Social Media,36-45,89,Google,0.197,5227.55,1.61,India
CAMP00085,Delta Solutions,Search,26-35,9,Instagram,0.3339,1874.04,5.55,USA
CAMP00086,Beta Ltd,Email,18-25,90,Google,0.3061,4906.03,4.33,Germany
CAMP00087,Alpha Corp,Social Media,18-25,86,YouTube,0.0481,12956.32,9.09,India
CAMP00088,Delta Solutions,Social Media,46-60,49,LinkedIn,0.2036,21427.25,7.74,Germany
CAMP00089,Gamma Inc,Social Media,18-25,7,Google,0.2321,16504.3,8.12,UK
CAMP00090,Gamma Inc,Social Media,46-60,26,Facebook,0.1208,15222.12,4.43,USA
CAMP00091,Delta Solutions,Display,36-45,24,Facebook,0.0998,18824.86,0.74,Germany
CAMP00092,Alpha Corp,Social Media,26-35,55,Google,0.2132,16177.83,7.71,Australia
CAMP00093,Gamma Inc,Email,26-35,64,Facebook,0.1511,11363.97,6.52,Germany
CAMP00094,Delta Solutions,Search,26-35,47,Facebook,0.3177,20476.4,1.84,USA
CAMP00095,Gamma Inc,Influencer,46-60,35,Google,0.0656,8099.52,7.69,India
CAMP00096,Alpha Corp,Influencer,36-45,8,YouTube,0.024,23238.82,1.92,Australia
CAMP00097,Gamma Inc,Email,46-60,85,Facebook,0.3159,3346.67,7.53,UK
CAMP00098,Delta Solutions,Display,36-45,90,Google,0.3147,16123.16,7.28,UK
CAMP00099,Gamma Inc,Social Media,46-60,7,Google,0.1517,12762.65,0.57,Australia
CAMP00100,Alpha Corp,Email,36-45,33,Facebook,0.2663,10931.16,7.86,India
CAMP00101,Gamma Inc,Social Media,46-60,89,Instagram,0.2975,11028.05,4.37,Germany
CAMP00102,Alpha Corp,Influencer,46-60,39,YouTube,0.0967,1534.08,5.31,UK
CAMP00103,Alpha Corp,Email,26-35,58,LinkedIn,0.2325,18912.09,9.66,UK
CAMP00104,Alpha Corp,Influencer,46-60,49,Facebook,0.2606,9132.5,9.24,UK
CAMP00105,Alpha Corp,Influencer,26-35,59,Email,0.1315,12177.59,4.14,Australia
CAMP00106,Delta Solutions,Search,26-35,80,Email,0.3316,21266.06,7.24,Germany
CAMP00107,Gamma Inc,Display,36-45,37,Google,0.3388,14639.16,5.37,USA
CAMP00108,Gamma Inc,Display,36-45,73,LinkedIn,0.1755,21360.2,8.31,Australia
CAMP00109,Alpha Corp,Email,18-25,44,Instagram,0.0358,3858.45,3.54,Australia
CAMP00110,Gamma Inc,Email,26-35,22,Facebook,0.3224,7404.53,4.97,Germany
CAMP00111,Alpha Corp,Influencer,26-35,11,Facebook,0.1878,6084.34,1.57,UK
CAMP00112,Delta Solutions,Search,26-35,66,Google,0.0572,22215.19,9.3,USA
CAMP00113,Alpha Corp,Influencer,26-35,56,Instagram,0.2589,19648.15,9.06,Germany
CAMP00114,Gamma Inc,Search,18-25,80,Google,0.2436,20935.47,3.12,UK
CAMP00115,Beta Ltd,Search,46-60,25,Google,0.0576,14432.75,6.04,Australia
CAMP00116,Gamma Inc,Search,36-45,66,LinkedIn,0.1035,5908.35,4.09,UK
CAMP00117,Delta Solutions,Influencer,26-35,7,YouTube,0.3038,9736.46,1.98,USA
CAMP00118,Delta Solutions,Search,18-25,16,Google,0.3397,13982.37,0.93,Germany
CAMP00119,Beta Ltd,Search,26-35,56,Instagram,0.1478,964.98,8.32,UK
CAMP00120,Alpha Corp,Influencer,36-45,51,Instagram,0.0558,16171.24,3.25,Australia
CAMP00121,Delta Solutions,Social Media,46-60,55,Facebook,0.1297,21444.3,5.4,India
CAMP00122,Delta Solutions,Social Media,46-60,77,Facebook,0.1826,8478.07,9.08,USA
CAMP00123,Alpha Corp,Display,46-60,76,Google,0.1121,17154.84,0.69,Germany
CAMP00124,Alpha Corp,Email,36-45,21,Google,0.2178,12347.3,5.7,USA
CAMP00125,Beta Ltd,Search,26-35,22,Instagram,0.0127,597.45,9.58,USA
CAMP00126,Gamma Inc,Social Media,26-35,51,Google,0.2876,7457.81,8.19,Australia
CAMP00127,Beta Ltd,Influencer,36-45,87,Google,0.2972,13432.58,2.58,UK
CAMP00128,Beta Ltd,Social Media,36-45,62,Facebook,0.2764,18260.26,2.41,UK
CAMP00129,Gamma Inc,Email,26-35,17,Email,0.1132,10349.83,7.74,USA
CAMP00130,Beta Ltd,Social Media,18-25,59,Facebook,0.225,5063.01,1.26,USA
CAMP00131,Beta Ltd,Influencer,36-45,34,Facebook,0.1342,1995.72,6.19,India
CAMP00132,Gamma Inc,Search,26-35,14,Email,0.1424,18009.96,2.72,UK
CAMP00133,Delta Solutions,Influencer,46-60,66,Instagram,0.2511,9443.51,8.47,Germany
CAMP00134,Alpha Corp,Display,26-35,28,YouTube,0.2968,16354.05,4.1,Germany
CAMP00135,Alpha Corp,Search,26-35,71,LinkedIn,0.2925,5932.92,4.44,India
CAMP00136,Gamma Inc,Email,46-60,52,LinkedIn,0.0886,18989.8,8.05,Germany
CAMP00137,Gamma Inc,Email,18-25,43,Email,0.2337,8937.46,1.34,India
CAMP00138,Gamma Inc,Influencer,26-35,22,Instagram,0.1008,1783.03,6.21,USA
CAMP00139,Beta Ltd,Search,26-35,30,Email,0.2237,13000.72,9.64,USA
CAMP00140,Delta Solutions,Search,46-60,33,Google,0.1348,18420.44,6.68,USA
CAMP00141,Alpha Corp,Email,26-35,64,YouTube,0.2786,23346.18,1.28,Australia
CAMP00142,Delta Solutions,Display,18-25,40,Instagram,0.3287,24286.02,9.13,Germany
CAMP00143,Delta Solutions,Influencer,18-25,7,LinkedIn,0.1086,11682.28,1.72,Australia
CAMP00144,Alpha Corp,Display,26-35,6,Facebook,0.3054,15490.9,4.0,Germany
CAMP00145,Gamma Inc,Search,36-45,28,Google,0.2616,14151.91,2.23,USA
CAMP00146,Beta Ltd,Display,36-45,48,Email,0.2024,13571.77,7.36,Germany
CAMP00147,Gamma Inc,Email,36-45,33,Google,0.1885,3306.21,3.02,USA
CAMP00148,Gamma Inc,Influencer,26-35,90,Instagram,0.1186,16936.19,2.98,Australia
CAMP00149,Beta Ltd,Display,36-45,24,Google,0.0791,24149.12,4.43,India
CAMP00150,Alpha Corp,Influencer,26-35,40,Instagram,0.0384,3606.67,3.22,USA
CAMP00151,Alpha Corp,Social Media,36-45,39,YouTube,0.2522,8140.44,7.95,India
CAMP00152,Beta Ltd,Social Media,18-25,28,Instagram,0.0856,2387.72,5.5,Australia
CAMP00153,Beta Ltd,Search,26-35,80,Google,0.1784,10368.18,5.78,UK
CAMP00154,Beta Ltd,Search,26-35,26,LinkedIn,0.3125,12300.97,2.04,India
CAMP00155,Gamma Inc,Social Media,18-25,5,Email,0.2382,9271.44,9.18,UK
CAMP00156,Delta Solutions,Email,26-35,49,Facebook,0.0675,12176.26,3.81,India
CAMP00157,Alpha Corp,Display,18-25,59,Instagram,0.2597,20172.69,4.09,Germany
CAMP00158,Delta Solutions,Social Media,36-45,44,Facebook,0.083,5741.13,2.8,USA
CAMP00159,Alpha Corp,Email,18-25,41,LinkedIn,0.2752,19070.31,9.62,USA
CAMP00160,Alpha Corp,Search,26-35,79,Email,0.0364,19935.56,6.27,India
CAMP00161,Delta Solutions,Email,46-60,37,LinkedIn,0.0582,14737.76,1.08,India
CAMP00162,Alpha Corp,Search,46-60,59,Google,0.3276,8225.37,2.33,USA
CAMP00163,Beta Ltd,Social Media,18-25,77,Email,0.1053,23444.27,5.06,USA
CAMP00164,Gamma Inc,Social Media,18-25,39,YouTube,0.0612,9415.64,2.28,India
CAMP00165,Beta Ltd,Search,46-60,51,Instagram,0.0831,1723.07,6.25,USA
CAMP00166,Alpha Corp,Email,26-35,38,YouTube,0.1328,3834.15,3.43,Germany
CAMP00167,Gamma Inc,Influencer,36-45,57,Email,0.2948,22343.96,3.82,Australia
CAMP00168,Beta Ltd,Social Media,46-60,52,Facebook,0.0619,4174.42,7.97,India
CAMP00169,Delta Solutions,Search,18-25,78,Google,0.0154,11461.16,5.48,USA
CAMP00170,Alpha Corp,Influencer,18-25,26,YouTube,0.3041,17453.3,1.57,USA
CAMP00171,Alpha Corp,Influencer,36-45,18,Email,0.1119,14554.3,4.03,USA
CAMP00172,Gamma Inc,Email,36-45,41,LinkedIn,0.0362,16507.61,9.02,India
CAMP00173,Gamma Inc,Social Media,18-25,57,Google,0.0194,9045.96,8.54,India
CAMP00174,Alpha Corp,Social Media,26-35,29,LinkedIn,0.3159,16724.79,7.72,India
CAMP00175,Gamma Inc,Display,36-45,90,Instagram,0.1879,722.6,8.51,Germany
CAMP00176,Beta Ltd,Social Media,26-35,49,LinkedIn,0.2176,6949.63,1.37,USA
CAMP00177,Gamma Inc,Display,26-35,74,Instagram,0.2195,3528.2,1.66,Australia
CAMP00178,Delta Solutions,Search,46-60,52,YouTube,0.1875,11653.94,0.68,USA
CAMP00179,Gamma Inc,Search,46-60,38,Google,0.2715,4072.67,1.69,USA
CAMP00180,Alpha Corp,Social Media,26-35,77,Email,0.3181,13910.59,8.32,India
CAMP00181,Alpha Corp,Display,36-45,18,Facebook,0.228,4926.29,0.86,Germany
CAMP00182,Gamma Inc,Social Media,26-35,26,Google,0.2969,10649.48,4.92,Germany
CAMP00183,Alpha Corp,Social Media,36-45,70,Google,0.0133,2318.43,2.85,USA
CAMP00184,Gamma Inc,Influencer,36-45,82,Instagram,0.1733,11279.52,8.41,India
CAMP00185,Alpha Corp,Social Media,36-45,30,Instagram,0.2154,20295.59,8.13,UK
CAMP00186,Delta Solutions,Social Media,18-25,51,Email,0.0784,8264.08,7.78,USA
CAMP00187,Beta Ltd,Search,18-25,46,LinkedIn,0.0645,17804.76,4.09,UK
CAMP00188,Beta Ltd,Display,26-35,67,Instagram,0.0563,10936.66,9.29,USA
CAMP00189,Delta Solutions,Display,18-25,47,Instagram,0.1068,6238.19,9.01,UK
CAMP00190,Alpha Corp,Email,18-25,57,YouTube,0.29,7935.23,6.68,India
CAMP00191,Beta Ltd,Email,26-35,62,LinkedIn,0.0194,7913.17,6.32,UK
CAMP00192,Delta Solutions,Search,46-60,76,Email,0.2148,18688.28,3.7,USA
CAMP00193,Beta Ltd,Search,18-25,16,Instagram,0.0332,5422.93,7.49,Germany
CAMP00194,Alpha Corp,Search,18-25,62,Facebook,0.2117,24455.4,9.42,USA
CAMP00195,Alpha Corp,Social Media,36-45,20,YouTube,0.0958,17343.36,3.5,Germany
CAMP00196,Delta Solutions,Social Media,18-25,5,Facebook,0.0635,10328.28,3.22,USA
CAMP00197,Alpha Corp,Influencer,46-60,66,LinkedIn,0.1684,24951.1,3.0,USA
CAMP00198,Alpha Corp,Social Media,46-60,38,Instagram,0.0886,5796.2,9.84,UK
CAMP00199,Alpha Corp,Social Media,18-25,66,Email,0.1386,19191.32,5.63,India
CAMP00200,Delta Solutions,Search,18-25,85,YouTube,0.2252,7137.95,9.69,Australia
CAMP00201,Alpha Corp,Email,26-35,16,Instagram,0.3283,13817.33,6.37,Germany
CAMP00202,Beta Ltd,Influencer,36-45,43,YouTube,0.2201,1833.32,3.29,Germany
CAMP00203,Alpha Corp,Search,26-35,13,Google,0.1824,21238.25,6.07,India
CAMP00204,Delta Solutions,Social Media,46-60,76,Facebook,0.1994,9470.72,1.98,Germany
CAMP00205,Alpha Corp,Display,36-45,90,Google,0.1705,14819.92,4.76,Australia
CAMP00206,Alpha Corp,Search,46-60,79,LinkedIn,0.2014,23218.45,4.71,Australia
CAMP00207,Beta Ltd,Email,36-45,90,Facebook,0.2039,1241.04,5.98,UK
CAMP00208,Beta Ltd,Social Media,18-25,33,YouTube,0.1773,24216.43,4.18,USA
CAMP00209,Alpha Corp,Display,46-60,28,YouTube,0.278,13366.89,4.82,Germany
CAMP00210,Beta Ltd,Display,36-45,78,YouTube,0.1429,19628.29,8.82,Australia
CAMP00211,Delta Solutions,Search,18-25,61,LinkedIn,0.0469,12089.6,2.21,Australia
CAMP00212,Beta Ltd,Search,26-35,37,Google,0.2286,20489.74,9.27,USA
CAMP00213,Beta Ltd,Email,26-35,23,YouTube,0.2807,22073.69,5.62,USA
CAMP00214,Gamma Inc,Display,36-45,7,Instagram,0.2752,9851.01,6.47,UK
CAMP00215,Beta Ltd,Social Media,18-25,8,Facebook,0.0957,18204.49,1.49,UK
CAMP00216,Beta Ltd,Influencer,18-25,64,Google,0.23,24966.14,1.88,India
CAMP00217,Delta Solutions,Display,46-60,27,Instagram,0.3495,19049.73,7.46,UK
CAMP00218,Alpha Corp,Search,18-25,75,Google,0.0456,23943.56,9.06,UK
CAMP00219,Gamma Inc,Display,36-45,77,LinkedIn,0.1877,18547.12,5.43,USA
CAMP00220,Delta Solutions,Display,46-60,43,LinkedIn,0.1138,8582.23,2.09,UK
CAMP00221,Delta Solutions,Search,36-45,30,Email,0.279,20765.22,8.07,UK
CAMP00222,Beta Ltd,Social Media,36-45,19,YouTube,0.1204,16825.35,9.22,USA
CAMP00223,Delta Solutions,Social Media,46-60,27,Instagram,0.2594,1310.17,6.87,UK
CAMP00224,Gamma Inc,Display,46-60,57,LinkedIn,0.0646,4724.63,2.24,India
CAMP00225,Delta Solutions,Display,26-35,70,YouTube,0.0328,6901.19,4.42,UK
CAMP00226,Alpha Corp,Search,18-25,68,LinkedIn,0.0454,18717.31,9.43,Germany
CAMP00227,Delta Solutions,Influencer,36-45,87,Email,0.0985,20029.75,2.32,India
CAMP00228,Gamma Inc,Influencer,26-35,61,Facebook,0.2988,20758.69,2.12,India
CAMP00229,Delta Solutions,Email,46-60,48,LinkedIn,0.0611,2146.76,7.17,India
CAMP00230,Delta Solutions,Influencer,26-35,35,Instagram,0.0214,2267.84,5.66,UK
CAMP00231,Beta Ltd,Influencer,26-35,33,Facebook,0.3002,7836.36,2.44,USA
CAMP00232,Alpha Corp,Influencer,36-45,36,Instagram,0.1375,17190.46,6.36,Australia
CAMP00233,Delta Solutions,Social Media,36-45,80,Email,0.2102,21133.53,9.4,USA
CAMP00234,Beta Ltd,Display,26-35,52,Facebook,0.0385,21799.7,8.62,India
CAMP00235,Alpha Corp,Email,26-35,24,YouTube,0.3185,5584.13,0.56,USA
CAMP00236,Beta Ltd,Social Media,18-25,21,Google,0.1815,19301.67,8.83,Australia
CAMP00237,Alpha Corp,Social Media,36-45,7,Google,0.0405,16198.99,6.46,India
CAMP00238,Delta Solutions,Influencer,46-60,77,Instagram,0.2255,23204.89,3.04,UK
CAMP00239,Delta Solutions,Display,26-35,23,Email,0.1343,19435.1,1.39,Australia
CAMP00240,Beta Ltd,Social Media,26-35,13,Instagram,0.1302,13451.22,9.73,Australia
CAMP00241,Delta Solutions,Display,46-60,29,YouTube,0.1488,19688.26,0.78,USA
CAMP00242,Delta Solutions,Search,36-45,46,Instagram,0.1828,8052.8,2.25,Australia
CAMP00243,Beta Ltd,Social Media,18-25,87,YouTube,0.2206,19760.56,6.88,India
CAMP00244,Delta Solutions,Social Media,26-35,78,Instagram,0.0598,19638.63,7.7,UK
CAMP00245,Alpha Corp,Influencer,36-45,19,Instagram,0.2665,21452.61,3.03,Germany
CAMP00246,Delta Solutions,Influencer,46-60,50,Google,0.0192,6438.7,7.5,USA
CAMP00247,Alpha Corp,Influencer,18-25,75,LinkedIn,0.2477,21300.52,7.77,Australia
CAMP00248,Delta Solutions,Display,36-45,70,Email,0.0723,4641.73,8.13,Germany
CAMP00249,Alpha Corp,Email,18-25,45,Facebook,0.1619,19411.54,7.66,India
CAMP00250,Gamma Inc,Email,36-45,25,YouTube,0.2009,23282.98,0.81,Germany
CAMP00251,Alpha Corp,Display,26-35,72,Google,0.2301,1377.05,8.98,UK
CAMP00252,Beta Ltd,Influencer,46-60,43,Email,0.279,15837.31,5.85,Germany
CAMP00253,Delta Solutions,Search,46-60,25,Facebook,0.1855,16660.0,4.59,Germany
CAMP00254,Beta Ltd,Display,18-25,66,Google,0.3092,20471.0,0.73,USA
CAMP00255,Alpha Corp,Display,46-60,80,Instagram,0.3347,3019.17,6.11,UK
CAMP00256,Alpha Corp,Email,26-35,81,Email,0.3419,22781.05,2.05,USA
CAMP00257,Gamma Inc,Display,18-25,85,LinkedIn,0.1187,24847.78,5.7,Australia
CAMP00258,Alpha Corp,Social Media,18-25,60,Google,0.0209,16966.58,2.3,Germany
CAMP00259,Delta Solutions,Influencer,46-60,71,Facebook,0.2534,11033.36,7.04,UK
CAMP00260,Beta Ltd,Display,26-35,25,Facebook,0.0956,16057.88,1.34,Germany
CAMP00261,Alpha Corp,Email,18-25,32,LinkedIn,0.271,1840.3,6.2,Germany
CAMP00262,Beta Ltd,Search,36-45,17,Google,0.0117,18949.34,6.62,UK
CAMP00263,Alpha Corp,Email,46-60,11,Instagram,0.2742,2214.18,4.25,Australia
CAMP00264,Gamma Inc,Search,18-25,77,Email,0.0338,8403.48,9.21,India
CAMP00265,Gamma Inc,Search,26-35,44,YouTube,0.309,3915.27,5.5,USA
CAMP00266,Alpha Corp,Email,46-60,52,Google,0.2314,18288.01,7.63,Germany
CAMP00267,Gamma Inc,Social Media,18-25,12,LinkedIn,0.065,15063.49,4.72,India
CAMP00268,Delta Solutions,Search,26-35,20,Email,0.1827,17630.49,8.02,Australia
CAMP00269,Delta Solutions,Email,26-35,11,Instagram,0.1818,2081.87,9.03,India
CAMP00270,Alpha Corp,Email,36-45,46,Facebook,0.3089,9574.96,4.42,UK
CAMP00271,Alpha Corp,Social Media,26-35,54,LinkedIn,0.191,10451.16,9.69,USA
CAMP00272,Alpha Corp,Email,26-35,15,Facebook,0.1972,15258.76,1.95,USA
CAMP00273,Gamma Inc,Influencer,36-45,65,Instagram,0.1185,3007.1,8.54,USA
CAMP00274,Beta Ltd,Email,36-45,14,Email,0.2577,16357.31,5.5,UK
CAMP00275,Delta Solutions,Influencer,26-35,77,Email,0.0271,10170.12,1.81,Australia
CAMP00276,Beta Ltd,Influencer,18-25,84,Facebook,0.3391,22695.04,6.44,UK
CAMP00277,Gamma Inc,Search,18-25,60,LinkedIn,0.2161,11520.32,1.75,Australia
CAMP00278,Alpha Corp,Influencer,26-35,51,LinkedIn,0.2975,3000.75,8.93,UK
CAMP00279,Gamma Inc,Influencer,36-45,67,YouTube,0.2756,3033.35,8.25,Germany
CAMP00280,Alpha Corp,Influencer,46-60,26,Google,0.0842,6730.24,6.72,Australia
CAMP00281,Gamma Inc,Search,46-60,84,LinkedIn,0.1083,6375.38,2.71,Germany
CAMP00282,Delta Solutions,Influencer,18-25,80,Email,0.1045,20018.81,9.65,USA
CAMP00283,Beta Ltd,Social Media,46-60,64,Instagram,0.0867,18198.52,8.61,USA
CAMP00284,Beta Ltd,Email,46-60,90,Instagram,0.0154,2378.48,7.29,India
CAMP00285,Delta Solutions,Influencer,36-45,31,Email,0.2912,21360.13,3.97,India
CAMP00286,Beta Ltd,Search,26-35,81,YouTube,0.1929,2855.19,5.1,Germany
CAMP00287,Alpha Corp,Email,36-45,7,YouTube,0.211,19747.88,3.71,UK
CAMP00288,Beta Ltd,Influencer,18-25,69,YouTube,0.1772,3234.62,8.57,Australia
CAMP00289,Gamma Inc,Display,18-25,29,Instagram,0.0523,9720.78,3.43,Australia
CAMP00290,Beta Ltd,Email,26-35,87,Instagram,0.1583,18897.8,2.76,Germany
CAMP00291,Beta Ltd,Email,26-35,53,LinkedIn,0.1098,6714.06,2.54,Australia
CAMP00292,Alpha Corp,Search,36-45,21,LinkedIn,0.3133,3276.58,4.31,India
CAMP00293,Alpha Corp,Influencer,36-45,32,Facebook,0.2484,19786.28,6.42,UK
CAMP00294,Beta Ltd,Email,46-60,80,Facebook,0.0653,17428.9,8.4,Australia
CAMP00295,Gamma Inc,Influencer,26-35,74,LinkedIn,0.2487,22336.06,9.28,Germany
CAMP00296,Delta Solutions,Search,26-35,35,YouTube,0.1964,16218.04,1.26,Australia
CAMP00297,Beta Ltd,Influencer,26-35,27,YouTube,0.0378,2311.79,0.95,Germany
