lead_id,customer_id,lead_source,lead_date,lead_status,lead_score,sales_agent
LEAD00093,CUST00774,Event,2025-08-06,New,25,Agent D
LEAD00094,CUST01163,Website,2025-05-18,Lost,81,Agent E
LEAD00095,CUST00042,Referral,2026-06-04,Lost,3,Agent A
LEAD00096,CUST01840,Email,2025-08-14,Contacted,21,Agent B
LEAD00097,CUST01031,Email,2025-09-07,Converted,57,Agent B
LEAD00098,CUST01574,Social Media,2025-08-29,Converted,85,Agent B
LEAD00099,CUST00552,Email,2025-07-09,Lost,41,Agent D
LEAD00100,CUST01673,Advertisement,2026-07-01,New,7,Agent E
LEAD00101,CUST00734,Social Media,2026-03-17,New,56,Agent D
LEAD00102,CUST01857,Referral,2025-04-05,Qualified,28,Agent B
LEAD00103,CUST01045,Event,2025-05-09,Qualified,31,Agent D
LEAD00104,CUST01274,Website,2025-02-18,Qualified,93,Agent E
LEAD00105,CUST00408,Advertisement,2025-06-02,Contacted,95,Agent B
LEAD00106,CUST01990,Social Media,2026-01-27,Lost,26,Agent B
LEAD00107,CUST00386,Email,2026-07-12,Contacted,60,Agent C
LEAD00108,CUST00067,Email,2025-10-15,Lost,55,Agent A
LEAD00109,CUST00880,Social Media,2025-02-18,Contacted,97,Agent B
LEAD00110,CUST01670,Advertisement,2025-01-29,Qualified,95,Agent A
LEAD00111,CUST01843,Email,2025-09-05,Lost,36,Agent A
LEAD00112,CUST01715,Advertisement,2025-06-07,Lost,3,Agent B
LEAD00113,CUST01107,Website,2025-12-10,New,1,Agent A
LEAD00114,CUST01834,Social Media,2025-03-12,New,1,Agent B
LEAD00115,CUST00985,Advertisement,2025-05-18,Qualified,79,Agent E
LEAD00116,CUST00957,Email,2025-11-28,Contacted,74,Agent A
LEAD00117,CUST00362,Social Media,2025-06-17,Converted,83,Agent C
LEAD00118,CUST01576,Website,2025-08-06,Qualified,14,Agent B
LEAD00119,CUST00633,Referral,2025-05-13,Qualified,6,Agent C
LEAD00120,CUST00391,Event,2025-01-31,Converted,18,Agent A
LEAD00121,CUST00740,Event,2025-07-25,Contacted,63,Agent C
LEAD00122,CUST01207,Advertisement,2025-07-16,Converted,1,Agent A
LEAD00123,CUST00541,Website,2026-06-20,Contacted,67,Agent C
LEAD00124,CUST00718,Social Media,2026-06-17,Contacted,89,Agent D
LEAD00125,CUST00661,Referral,2025-09-15,Qualified,15,Agent C
LEAD00126,CUST01193,Advertisement,2025-06-21,New,74,Agent C
LEAD00127,CUST01429,Website,2025-09-07,Lost,56,Agent A
LEAD00128,CUST01352,Referral,2025-12-29,Converted,95,Agent D
LEAD00129,CUST00283,Referral,2025-08-19,Qualified,25,Agent A
LEAD00130,CUST00695,Website,2026-03-27,Qualified,23,Agent C
LEAD00131,CUST01297,Event,2026-07-29,New,2,Agent A
LEAD00132,CUST00433,Event,2025-08-29,Converted,71,Agent D
LEAD00133,CUST00139,Event,2025-03-11,Converted,87,Agent B
LEAD00134,CUST00644,Advertisement,2025-03-14,New,2,Agent E
LEAD00135,CUST01358,Social Media,2026-06-04,New,50,Agent B
LEAD00136,CUST01328,Referral,2025-09-05,Lost,73,Agent A
LEAD00137,CUST00260,Social Media,2025-07-14,Converted,79,Agent B
LEAD00138,CUST01354,Email,2026-01-05,Qualified,94,Agent C
LEAD00139,CUST00389,Event,2026-07-25,Qualified,73,Agent A
LEAD00140,CUST01483,Referral,2025-09-11,New,93,Agent B
LEAD00141,CUST01134,Email,2025-07-07,Lost,100,Agent A
LEAD00142,CUST00254,Email,2026-05-30,New,93,Agent A
LEAD00143,CUST00701,Referral,2025-02-19,Converted,44,Agent A
LEAD00144,CUST01638,Event,2026-05-19,Lost,41,Agent B
LEAD00145,CUST00866,Event,2025-11-06,Converted,43,Agent D
LEAD00146,CUST01377,Referral,2025-01-13,Lost,96,Agent C
LEAD00147,CUST01497,Website,2025-05-16,Lost,29,Agent B
LEAD00148,CUST00062,Email,2026-02-09,Qualified,76,Agent C
LEAD00149,CUST01863,Event,2026-03-25,Contacted,63,Agent B
LEAD00150,CUST00672,Email,2025-04-27,Converted,7,Agent E
LEAD00151,CUST01587,Social Media,2026-01-27,Converted,49,Agent C
LEAD00152,CUST00934,Event,2026-08-13,Qualified,20,Agent A
LEAD00153,CUST01154,Advertisement,2026-02-14,Contacted,73,Agent B
LEAD00154,CUST00722,Referral,2026-02-23,Qualified,45,Agent C
LEAD00155,CUST01707,Event,2025-04-26,Contacted,36,Agent D
LEAD00156,CUST00235,Website,2026-01-15,Contacted,7,Agent D
LEAD00157,CUST01793,Website,2026-02-27,Qualified,14,Agent D
LEAD00158,CUST00415,Advertisement,2025-03-07,Qualified,77,Agent B
LEAD00159,CUST01767,Website,2025-07-05,Qualified,87,Agent A
LEAD00160,CUST00050,Event,2026-06-11,Contacted,30,Agent B
LEAD00161,CUST00028,Event,2026-08-19,Contacted,83,Agent D
LEAD00162,CUST00187,Email,2025-04-14,Qualified,56,Agent B
LEAD00163,CUST01096,Event,2026-03-13,New,36,Agent A
LEAD00164,CUST00533,Email,2025-10-26,Contacted,46,Agent B
LEAD00165,CUST01196,Advertisement,2025-12-18,Lost,70,Agent A
LEAD00166,CUST01640,Email,2025-11-01,Contacted,91,Agent B
LEAD00167,CUST00055,Email,2026-06-01,Lost,50,Agent E
LEAD00168,CUST01054,Website,2025-09-23,Lost,35,Agent E
LEAD00169,CUST01479,Referral,2025-12-18,Lost,77,Agent C
LEAD00170,CUST00849,Social Media,2026-02-03,Lost,53,Agent A
LEAD00171,CUST01851,Event,2025-11-26,New,40,Agent D
LEAD00172,CUST01325,Email,2026-06-09,Lost,46,Agent C
LEAD00173,CUST00070,Email,2025-05-22,Lost,54,Agent B
LEAD00174,CUST01084,Website,2026-07-20,Contacted,15,Agent B
LEAD00175,CUST00768,Referral,2026-02-09,Lost,6,Agent C
LEAD00176,CUST00264,Website,2026-07-27,Contacted,67,Agent D
LEAD00177,CUST01901,Event,2025-08-12,Qualified,18,Agent B
LEAD00178,CUST00446,Event,2025-10-13,Qualified,54,Agent C
LEAD00179,CUST00167,Website,2025-01-26,Converted,79,Agent E
LEAD00180,CUST00446,Advertisement,2026-07-05,New,22,Agent A
LEAD00181,CUST01647,Referral,2026-05-02,Contacted,39,Agent A
LEAD00182,CUST01200,Event,2025-06-26,Contacted,98,Agent E
LEAD00183,CUST01640,Email,2025-01-31,Qualified,4,Agent D
LEAD00184,CUST00924,Website,2026-02-20,Converted,76,Agent A
LEAD00185,CUST00234,Advertisement,2026-02-05,New,17,Agent B
LEAD00186,CUST00776,Advertisement,2025-11-11,Converted,91,Agent A
LEAD00187,CUST00400,Advertisement,2025-04-04,New,42,Agent E
LEAD00188,CUST01114,Website,2026-07-02,New,1,Agent A
LEAD00189,CUST00539,Social Media,2025-09-15,Contacted,72,Agent E
LEAD00190,CUST01941,Referral,2026-03-08,Qualified,15,Agent A
LEAD00191,CUST00755,Social Media,2026-05-28,Contacted,37,Agent E
LEAD00192,CUST00629,Advertisement,2025-11-23,Converted,51,Agent D
LEAD00193,CUST01969,Email,2025-02-26,Contacted,75,Agent B
LEAD00194,CUST01041,Email,2026-06-14,Qualified,42,Agent B
LEAD00195,CUST00341,Social Media,2026-02-02,Contacted,86,Agent C
LEAD00196,CUST00961,Advertisement,2026-06-18,Qualified,49,Agent A
LEAD00197,CUST00510,Advertisement,2026-01-01,Qualified,35,Agent B
LEAD00198,CUST01434,Email,2026-06-25,Lost,34,Agent D
LEAD00199,CUST01148,Email,2026-06-02,Lost,81,Agent B
LEAD00200,CUST01461,Event,2025-05-09,Qualified,67,Agent D
LEAD00201,CUST01881,Website,2025-04-13,Qualified,13,Agent C
LEAD00202,CUST01459,Referral,2025-04-06,Contacted,76,Agent E
LEAD00203,CUST00682,Email,2026-04-22,New,42,Agent E
LEAD00204,CUST00404,Referral,2025-05-24,Qualified,35,Agent B
LEAD00205,CUST01059,Referral,2025-09-26,New,10,Agent A
LEAD00206,CUST00899,Advertisement,2026-04-15,Contacted,100,Agent A
LEAD00207,CUST00627,Social Media,2025-09-13,Contacted,6,Agent A
LEAD00208,CUST01623,Advertisement,2025-02-06,Lost,100,Agent A
LEAD00209,CUST01819,Referral,2025-08-04,Qualified,7,Agent B
LEAD00210,CUST00764,Social Media,2025-02-26,Converted,51,Agent D
LEAD00211,CUST01362,Social Media,2025-08-18,Contacted,11,Agent A
LEAD00212,CUST01969,Social Media,2026-03-16,Converted,50,Agent D
LEAD00213,CUST00024,Social Media,2025-11-06,Lost,84,Agent D
LEAD00214,CUST00730,Referral,2026-02-07,Qualified,60,Agent A
LEAD00215,CUST01476,Email,2025-03-05,Lost,55,Agent E
LEAD00216,CUST00996,Referral,2026-03-24,Lost,12,Agent A
LEAD00217,CUST01584,Social Media,2025-09-11,Contacted,95,Agent D
LEAD00218,CUST00950,Advertisement,2025-06-21,Contacted,38,Agent E
LEAD00219,CUST00129,Social Media,2026-01-24,Qualified,54,Agent C
LEAD00220,CUST00868,Website,2025-03-22,New,90,Agent B
LEAD00221,CUST00810,Website,2025-10-24,Lost,63,Agent B
LEAD00222,CUST01692,Social Media,2025-09-09,Contacted,74,Agent E
LEAD00223,CUST00295,Event,2025-04-09,Lost,19,Agent A
LEAD00224,CUST00311,Advertisement,2026-07-22,New,47,Agent D
LEAD00225,CUST00283,Website,2025-08-05,Contacted,55,Agent B
LEAD00226,CUST01136,Event,2025-01-25,Lost,18,Agent B
LEAD00227,CUST01992,Referral,2025-09-22,Qualified,39,Agent A
LEAD00228,CUST01238,Social Media,2026-07-31,Contacted,84,Agent B
LEAD00229,CUST01633,Social Media,2026-02-03,Converted,94,Agent A
LEAD00230,CUST01703,Referral,2026-01-15,New,83,Agent B
LEAD00231,CUST01202,Website,2026-06-21,Converted,94,Agent C
LEAD00232,CUST01219,Website,2025-02-20,Qualified,100,Agent A
LEAD00233,CUST00487,Event,2025-11-25,Converted,20,Agent E
LEAD00234,CUST01921,Referral,2025-07-11,Converted,86,Agent E
LEAD00235,CUST01576,Referral,2026-02-08,Lost,63,Agent B
LEAD00236,CUST01745,Website,2026-05-24,Qualified,86,Agent D
LEAD00237,CUST01968,Website,2025-02-16,Contacted,64,Agent A
LEAD00238,CUST00698,Website,2025-04-05,Converted,13,Agent B
LEAD00239,CUST00288,Social Media,2026-07-23,Qualified,57,Agent E
LEAD00240,CUST01720,Website,2025-10-21,Contacted,77,Agent A
LEAD00241,CUST00946,Referral,2025-07-07,Converted,13,Agent B
LEAD00242,CUST01917,Referral,2025-04-01,Qualified,51,Agent B
LEAD00243,CUST01389,Referral,2025-07-31,New,66,Agent E
LEAD00244,CUST00515,Website,2025-01-03,Qualified,47,Agent D
LEAD00245,CUST00710,Website,2025-05-13,Qualified,80,Agent E
LEAD00246,CUST01221,Advertisement,2025-04-20,New,13,Agent B
LEAD00247,CUST00789,Email,2025-02-20,Lost,35,Agent E
LEAD00248,CUST00564,Website,2026-08-01,Qualified,96,Agent A
LEAD00249,CUST00420,Referral,2026-04-16,Converted,52,Agent A
LEAD00250,CUST01300,Social Media,2026-07-15,Lost,19,Agent B
LEAD00251,CUST00071,Advertisement,2025-05-24,Converted,12,Agent C
LEAD00252,CUST00188,Advertisement,2025-06-21,Qualified,60,Agent C
LEAD00253,CUST00086,Email,2025-06-18,New,94,Agent A
LEAD00254,CUST01469,Website,2025-11-29,Contacted,5,Agent A
LEAD00255,CUST00059,Social Media,2025-04-19,New,11,Agent A
LEAD00256,CUST00840,Social Media,2025-05-21,New,38,Agent A
LEAD00257,CUST00243,Event,2026-08-05,Contacted,21,Agent E
LEAD00258,CUST01175,Advertisement,2025-07-29,Qualified,13,Agent D
LEAD00259,CUST00069,Referral,2026-04-11,Converted,30,Agent B
LEAD00260,CUST00052,Event,2025-05-17,Contacted,65,Agent E
LEAD00261,CUST00823,Referral,2026-07-09,Contacted,83,Agent C
LEAD00262,CUST01391,Referral,2026-02-18,New,31,Agent B
LEAD00263,CUST00220,Referral,2026-05-29,Lost,71,Agent A
LEAD00264,CUST00992,Email,2025-11-04,New,83,Agent D
LEAD00265,CUST01621,Social Media,2026-06-25,Contacted,1,Agent D
LEAD00266,CUST01251,Email,2025-08-05,Converted,86,Agent E
LEAD00267,CUST01501,Email,2025-10-13,Converted,19,Agent C
LEAD00268,CUST00632,Social Media,2025-02-06,Qualified,69,Agent D
LEAD00269,CUST01885,Advertisement,2025-04-12,Qualified,76,Agent C
LEAD00270,CUST00292,Website,2026-04-05,Converted,85,Agent A
LEAD00271,CUST01211,Advertisement,2025-07-14,Lost,41,Agent A
LEAD00272,CUST00871,Website,2025-03-02,New,66,Agent E
LEAD00273,CUST00064,Social Media,2025-06-24,Qualified,3,Agent E
LEAD00274,CUST01888,Email,2025-07-30,Qualified,45,Agent D
LEAD00275,CUST01405,Email,2026-03-04,New,97,Agent B
LEAD00276,CUST00456,Referral,2025-02-23,Contacted,16,Agent B
LEAD00277,CUST00105,Advertisement,2025-01-16,Contacted,16,Agent E
LEAD00278,CUST01352,Website,2026-03-08,Converted,71,Agent C
LEAD00279,CUST01091,Email,2025-03-26,Qualified,52,Agent C
LEAD00280,CUST00100,Event,2025-09-08,Lost,46,Agent D
LEAD00281,CUST01973,Referral,2026-02-11,New,25,Agent E
LEAD00282,CUST01437,Advertisement,2025-11-03,New,18,Agent A
LEAD00283,CUST00926,Email,2025-03-15,Qualified,74,Agent B
LEAD00284,CUST00477,Website,2026-03-07,New,36,Agent A
LEAD00285,CUST00543,Website,2025-01-29,Converted,78,Agent A
LEAD00286,CUST00904,Website,2025-05-19,Qualified,45,Agent B
LEAD00287,CUST00115,Social Media,2025-03-07,Converted,40,Agent E
LEAD00288,CUST00736,Social Media,2025-11-02,New,24,Agent E
LEAD00289,CUST00435,Email,2026-02-16,New,66,Agent D
LEAD00290,CUST00226,Email,2026-01-23,Contacted,29,Agent E
LEAD00291,CUST00252,Website,2025-03-25,Contacted,91,Agent A
LEAD00292,CUST00692,Social Media,2025-07-24,Contacted,41,Agent C
LEAD00293,CUST00766,Email,2025-03-29,Qualified,82,Agent C
LEAD00294,CUST00701,Advertisement,2025-07-24,Lost,47,Agent A
LEAD00295,CUST01380,Referral,2025-05-18,Converted,42,Agent C
LEAD00296,CUST01045,Website,2026-03-18,Qualified,46,Agent C
LEAD00297,CUST00386,Website,2026-03-24,Contacted,45,Agent E
LEAD00298,CUST01945,Social Media,2026-05-03,New,48,Agent A
LEAD00299,CUST01461,Social Media,2025-04-30,Qualified,89,Agent C
LEAD00300,CUST00941,Social Media,2025-01-09,Qualified,71,Agent E
LEAD00301,CUST00099,Website,2025-01-22,Converted,4,Agent E
LEAD00302,CUST01829,Social Media,2026-05-18,Qualified,6,Agent D
LEAD00303,CUST01490,Referral,2026-06-24,Qualified,3,Agent A
LEAD00304,CUST00924,Social Media,2025-05-07,Qualified,70,Agent A
LEAD00305,CUST00324,Website,2026-06-07,Contacted,21,Agent C
LEAD00306,CUST00216,Email,2025-11-12,Converted,39,Agent C
LEAD00307,CUST00580,Social Media,2025-04-21,Qualified,83,Agent E
LEAD00308,CUST00461,Referral,2025-07-06,Contacted,14,Agent A
LEAD00309,CUST00419,Advertisement,2025-06-08,Contacted,16,Agent C
LEAD00310,CUST00816,Email,2026-04-01,Lost,8,Agent E
LEAD00311,CUST00094,Website,2025-04-23,Qualified,29,Agent D
LEAD00312,CUST00651,Website,2025-04-20,New,9,Agent C
LEAD00313,CUST01743,Website,2026-03-05,Qualified,63,Agent B
LEAD00314,CUST01732,Event,2025-06-30,Qualified,74,Agent E
LEAD00315,CUST00017,Social Media,2025-05-30,New,19,Agent A
LEAD00316,CUST01358,Social Media,2026-04-27,Converted,53,Agent C
LEAD00317,CUST01983,Event,2026-07-10,Converted,31,Agent C
LEAD00318,CUST01157,Event,2025-11-27,Contacted,9,Agent B
LEAD00319,CUST00781,Website,2026-05-09,Lost,47,Agent A
LEAD00320,CUST00983,Website,2026-05-17,Lost,70,Agent C
LEAD00321,CUST00427,Email,2025-12-17,Contacted,23,Agent C
LEAD00322,CUST00795,Advertisement,2026-05-10,Qualified,79,Agent B
LEAD00323,CUST01874,Advertisement,2025-01-06,New,100,Agent E
LEAD00324,CUST01225,Advertisement,2025-01-22,Contacted,6,Agent D
LEAD00325,CUST00862,Social Media,2026-06-11,Converted,17,Agent B
LEAD00326,CUST00250,Email,2025-03-25,Qualified,29,Agent E
LEAD00327,CUST01813,Advertisement,2026-03-10,Lost,85,Agent C
LEAD00328,CUST00326,Advertisement,2025-09-08,Lost,15,Agent A
LEAD00329,CUST01444,Website,2026-04-15,New,48,Agent A
LEAD00330,CUST00607,Website,2026-02-01,Qualified,54,Agent E
LEAD00331,CUST00558,Social Media,2025-02-12,Converted,13,Agent B
LEAD00332,CUST00343,Event,2025-07-20,Converted,5,Agent B
LEAD00333,CUST00751,Advertisement,2026-02-27,Lost,12,Agent A
LEAD00334,CUST01355,Referral,2026-07-04,New,6,Agent E
LEAD00335,CUST00834,Email,2026-04-25,New,51,Agent A
LEAD00336,CUST00050,Advertisement,2026-06-16,Qualified,94,Agent C
LEAD00337,CUST00529,Advertisement,2026-07-25,Converted,36,Agent E
LEAD00338,CUST00321,Referral,2026-06-17,Contacted,26,Agent E
LEAD00339,CUST00804,Referral,2025-12-12,Lost,24,Agent A
LEAD00340,CUST01806,Referral,2025-07-20,New,99,Agent A
LEAD00341,CUST01926,Email,2025-10-30,Lost,96,Agent D
LEAD00342,CUST01996,Email,2026-04-20,Lost,65,Agent D
LEAD00343,CUST00226,Social Media,2025-09-11,Lost,47,Agent A
LEAD00344,CUST00976,Website,2026-05-11,Qualified,16,Agent C
LEAD00345,CUST00092,Event,2026-02-22,Converted,93,Agent E
LEAD00346,CUST00991,Email,2025-05-05,Contacted,1,Agent A
LEAD00347,CUST01154,Social Media,2026-07-03,Converted,17,Agent A
LEAD00348,CUST01547,Referral,2026-05-20,Qualified,68,Agent E
LEAD00349,CUST00673,Event,2025-12-24,Contacted,19,Agent B
LEAD00350,CUST00073,Event,2025-04-26,New,11,Agent D
LEAD00351,CUST00909,Event,2025-05-16,Contacted,60,Agent E
LEAD00352,CUST00855,Advertisement,2026-05-16,Converted,3,Agent A
LEAD00353,CUST01249,Referral,2025-01-11,Lost,27,Agent D
LEAD00354,CUST00200,Event,2025-10-16,Qualified,65,Agent B
LEAD00355,CUST01227,Advertisement,2026-01-04,Qualified,19,Agent B
LEAD00356,CUST00802,Referral,2025-05-19,New,76,Agent B
LEAD00357,CUST01479,Referral,2026-05-31,Qualified,10,Agent A
LEAD00358,CUST01968,Website,2025-11-08,Qualified,62,Agent E
LEAD00359,CUST00456,Social Media,2025-02-09,Qualified,8,Agent C
LEAD00360,CUST01508,Website,2025-07-10,Lost,74,Agent E
LEAD00361,CUST00256,Email,2025-08-25,Qualified,76,Agent E
LEAD00362,CUST01971,Website,2025-05-13,New,80,Agent B
LEAD00363,CUST00962,Email,2026-07-15,Contacted,29,Agent D
LEAD00364,CUST01493,Event,2025-08-03,Lost,24,Agent D
LEAD00365,CUST01556,Advertisement,2025-10-26,Qualified,98,Agent C
LEAD00366,CUST01217,Social Media,2025-11-16,New,73,Agent B
LEAD00367,CUST00769,Social Media,2025-05-12,Qualified,19,Agent C
LEAD00368,CUST01509,Referral,2025-12-05,Contacted,3,Agent A
LEAD00369,CUST00953,Event,2025-07-30,Lost,36,Agent E
LEAD00370,CUST01319,Referral,2025-01-07,New,67,Agent A
LEAD00371,CUST01227,Website,2025-09-01,Lost,38,Agent E
LEAD00372,CUST00929,Advertisement,2025-12-14,Lost,81,Agent B
LEAD00373,CUST00235,Email,2025-03-11,Qualified,51,Agent C
LEAD00374,CUST00586,Website,2026-04-10,New,100,Agent A
LEAD00375,CUST01876,Event,2026-01-29,Qualified,88,Agent D
LEAD00376,CUST01041,Referral,2025-07-04,Contacted,48,Agent B
LEAD00377,CUST01273,Referral,2025-12-19,Lost,84,Agent B
LEAD00378,CUST00517,Social Media,2025-06-30,New,45,Agent D
LEAD00379,CUST01412,Email,2026-01-22,New,1,Agent E
LEAD00380,CUST00974,Website,2025-04-02,Contacted,31,Agent B
LEAD00381,CUST00438,Social Media,2025-12-31,Contacted,41,Agent A
LEAD00382,CUST00293,Advertisement,2025-02-02,New,98,Agent A
LEAD00383,CUST00791,Social Media,2025-01-10,Converted,83,Agent A
LEAD00384,CUST01131,Website,2025-06-01,Lost,15,Agent C
LEAD00385,CUST00561,Social Media,2025-04-14,Contacted,1,Agent E
LEAD00386,CUST00491,Email,2025-10-20,Lost,53,Agent E
LEAD00387,CUST00540,Advertisement,2025-04-09,Contacted,54,Agent E
LEAD00388,CUST00588,Event,2025-05-26,New,74,Agent A
LEAD00389,CUST01479,Website,2025-02-28,Converted,26,Agent C
LEAD00390,CUST00999,Email,2026-06-13,Lost,82,Agent D
LEAD00391,CUST00939,Email,2026-03-15,New,42,Agent E
LEAD00392,CUST00326,Event,2025-05-10,Qualified,34,Agent D
LEAD00393,CUST01090,Advertisement,2025-03-13,Contacted,43,Agent D
LEAD00394,CUST01925,Email,2026-05-22,Qualified,95,Agent E
LEAD00395,CUST01492,Referral,2026-02-03,New,40,Agent C
LEAD00396,CUST00894,Social Media,2026-06-12,Qualified,57,Agent D
LEAD00397,CUST00614,Event,2025-04-17,Lost,90,Agent E
