interaction_id,customer_id,agent_id,interaction_datetime,channel,call_reason,duration_minutes,outcome,satisfaction_score
CALL00031,CUST01698,AG010,2025-05-06 08:05:05,Chat,Complaint,14,Follow-up Required,3
CALL00032,CUST00410,AG003,2026-05-31 08:24:21,Phone,Complaint,16,Follow-up Required,2
CALL00033,CUST00592,AG009,2025-03-25 23:56:54,Chat,Billing,20,No Response,2
CALL00034,CUST00843,AG005,2025-12-10 17:44:07,Email,Billing,33,Resolved,3
CALL00035,CUST00575,AG009,2025-12-19 02:23:57,Chat,Billing,54,Follow-up Required,5
CALL00036,CUST00376,AG004,2026-08-17 20:00:33,Email,Billing,15,Follow-up Required,2
CALL00037,CUST01468,AG008,2025-05-11 18:45:52,Chat,Product Query,58,Resolved,4
CALL00038,CUST01402,AG008,2026-06-05 22:35:13,Chat,Billing,40,Follow-up Required,4
CALL00039,CUST01496,AG004,2025-03-26 14:25:03,Chat,Technical Support,34,Follow-up Required,5
CALL00040,CUST01235,AG001,2025-05-26 19:59:08,Phone,Technical Support,19,Follow-up Required,5
CALL00041,CUST00375,AG003,2025-01-23 03:30:13,Email,Complaint,24,No Response,4
CALL00042,CUST01163,AG007,2025-07-16 05:43:17,Phone,Complaint,46,Escalated,5
CALL00043,CUST01073,AG008,2026-03-10 08:42:11,Chat,Billing,60,No Response,5
CALL00044,CUST01807,AG005,2025-04-27 16:08:02,Phone,Product Query,31,Follow-up Required,4
CALL00045,CUST01755,AG009,2025-02-13 08:46:34,Chat,Cancellation,4,Follow-up Required,1
CALL00046,CUST00201,AG008,2025-11-29 09:06:52,Chat,Cancellation,35,Follow-up Required,2
CALL00047,CUST01087,AG002,2025-01-04 06:18:46,Chat,Product Query,18,Follow-up Required,4
CALL00048,CUST01881,AG004,2026-01-24 14:39:28,Phone,Cancellation,47,Follow-up Required,5
CALL00049,CUST01418,AG006,2026-03-24 06:51:53,Chat,Technical Support,32,Follow-up Required,1
CALL00050,CUST00970,AG001,2026-03-23 18:52:21,Email,Complaint,9,Resolved,5
CALL00051,CUST01349,AG003,2025-02-24 16:01:45,Chat,Complaint,15,No Response,1
CALL00052,CUST00055,AG008,2025-11-12 16:18:12,Chat,Technical Support,55,Resolved,1
CALL00053,CUST00995,AG009,2025-07-11 20:36:20,Phone,Product Query,56,Follow-up Required,1
CALL00054,CUST01830,AG002,2025-03-15 00:22:39,Phone,Technical Support,23,Resolved,4
CALL00055,CUST00897,AG006,2025-04-07 10:57:08,Chat,Cancellation,32,Resolved,4
CALL00056,CUST01863,AG005,2025-05-30 05:20:33,Phone,Technical Support,21,No Response,5
CALL00057,CUST01597,AG009,2026-03-26 05:08:43,Phone,Cancellation,54,Resolved,4
CALL00058,CUST01888,AG009,2025-10-07 02:59:13,Phone,Cancellation,51,Escalated,1
CALL00059,CUST00291,AG010,2025-02-22 13:51:50,Phone,Complaint,20,Follow-up Required,2
CALL00060,CUST01670,AG010,2025-06-10 12:59:17,Phone,Complaint,15,Resolved,2
CALL00061,CUST00427,AG008,2025-04-16 20:16:37,Phone,Billing,10,Follow-up Required,5
CALL00062,CUST00557,AG003,2025-01-31 05:10:58,Phone,Cancellation,47,Escalated,4
CALL00063,CUST00265,AG003,2026-06-06 23:57:46,Phone,Billing,55,Follow-up Required,5
CALL00064,CUST00573,AG009,2026-06-15 03:51:35,Phone,Product Query,32,Escalated,5
CALL00065,CUST01289,AG007,2025-02-04 07:35:20,Phone,Billing,29,Resolved,5
CALL00066,CUST00657,AG008,2025-11-07 17:03:12,Chat,Technical Support,23,No Response,3
CALL00067,CUST00049,AG003,2026-05-28 16:22:00,Chat,Technical Support,48,Resolved,4
CALL00068,CUST00452,AG010,2025-12-21 18:53:02,Phone,Product Query,3,Resolved,4
CALL00069,CUST00261,AG002,2025-07-23 10:27:19,Phone,Billing,19,No Response,3
CALL00070,CUST01817,AG009,2025-03-03 00:41:19,Chat,Cancellation,37,Resolved,3
CALL00071,CUST01508,AG004,2025-02-25 10:25:47,Email,Cancellation,7,No Response,2
CALL00072,CUST01070,AG001,2026-06-27 16:32:30,Phone,Cancellation,22,No Response,5
CALL00073,CUST01704,AG009,2026-01-17 19:36:35,Email,Billing,39,Escalated,3
CALL00074,CUST00533,AG010,2026-05-30 00:29:18,Phone,Technical Support,21,Escalated,2
CALL00075,CUST01815,AG010,2026-08-05 07:00:58,Email,Complaint,16,Resolved,1
CALL00076,CUST01545,AG001,2025-08-21 18:52:00,Phone,Cancellation,44,Resolved,3
CALL00077,CUST00504,AG005,2026-02-24 02:30:43,Chat,Product Query,56,Resolved,5
CALL00078,CUST01256,AG004,2025-04-29 03:24:57,Chat,Billing,13,No Response,4
CALL00079,CUST01920,AG004,2026-02-06 23:33:14,Phone,Complaint,18,Escalated,3
CALL00080,CUST00759,AG004,2026-04-19 11:36:46,Phone,Product Query,13,Resolved,2
CALL00081,CUST00433,AG001,2025-11-16 00:31:57,Email,Complaint,18,Resolved,2
CALL00082,CUST01829,AG005,2025-12-09 05:28:53,Email,Cancellation,56,Escalated,3
CALL00083,CUST00630,AG001,2025-09-27 21:11:49,Phone,Billing,46,Follow-up Required,2
CALL00084,CUST01112,AG003,2026-05-11 14:33:34,Phone,Billing,49,No Response,4
CALL00085,CUST00193,AG008,2025-10-30 05:51:46,Chat,Technical Support,23,Follow-up Required,3
CALL00086,CUST01257,AG002,2025-10-15 05:13:55,Email,Complaint,8,Resolved,5
CALL00087,CUST01984,AG007,2025-08-15 11:34:52,Phone,Cancellation,9,Resolved,1
CALL00088,CUST00066,AG009,2026-06-16 04:48:53,Chat,Cancellation,56,No Response,1
CALL00089,CUST00567,AG010,2025-02-23 07:26:00,Chat,Complaint,15,No Response,4
CALL00090,CUST01260,AG007,2026-03-03 20:04:41,Phone,Billing,7,Follow-up Required,1
CALL00091,CUST01191,AG009,2025-09-11 09:01:23,Chat,Product Query,40,Follow-up Required,4
CALL00092,CUST00826,AG005,2025-07-29 22:54:20,Email,Billing,20,Follow-up Required,2
CALL00093,CUST00631,AG010,2025-09-18 18:23:37,Phone,Billing,8,Follow-up Required,4
CALL00094,CUST01497,AG008,2026-03-26 21:25:57,Chat,Cancellation,21,Escalated,4
CALL00095,CUST00975,AG010,2025-07-30 01:45:32,Phone,Product Query,42,Escalated,4
CALL00096,CUST00088,AG010,2025-07-11 16:08:42,Email,Complaint,21,Escalated,3
CALL00097,CUST00283,AG007,2026-08-15 11:48:12,Phone,Product Query,57,Follow-up Required,5
CALL00098,CUST00772,AG003,2025-09-13 23:20:54,Email,Cancellation,27,No Response,3
CALL00099,CUST01293,AG001,2026-04-24 06:35:16,Email,Billing,9,Resolved,1
CALL00100,CUST00132,AG004,2025-08-27 04:14:23,Phone,Complaint,54,Follow-up Required,4
CALL00101,CUST01995,AG003,2026-08-06 02:41:42,Email,Complaint,17,No Response,3
CALL00102,CUST01863,AG010,2025-09-07 07:59:40,Email,Technical Support,22,Resolved,1
CALL00103,CUST00137,AG001,2025-08-05 22:35:46,Email,Product Query,21,Escalated,4
CALL00104,CUST00840,AG006,2026-03-09 11:42:40,Chat,Technical Support,30,No Response,1
CALL00105,CUST00742,AG010,2026-05-02 04:26:52,Email,Complaint,36,Resolved,5
CALL00106,CUST00279,AG003,2025-05-27 10:02:09,Email,Technical Support,34,No Response,1
CALL00107,CUST01032,AG006,2026-07-14 04:57:08,Chat,Cancellation,39,Escalated,2
CALL00108,CUST01487,AG002,2025-07-12 15:13:45,Email,Billing,17,Escalated,2
CALL00109,CUST01066,AG005,2026-06-18 16:31:07,Chat,Billing,58,Follow-up Required,2
CALL00110,CUST01764,AG010,2025-11-02 07:09:28,Email,Cancellation,29,Resolved,3
CALL00111,CUST01283,AG007,2025-12-08 05:57:14,Phone,Product Query,60,Escalated,1
CALL00112,CUST01551,AG006,2025-06-14 23:38:37,Chat,Cancellation,5,Resolved,5
CALL00113,CUST01692,AG010,2025-04-08 04:48:43,Phone,Complaint,20,Escalated,5
CALL00114,CUST01702,AG009,2025-03-21 05:48:07,Phone,Billing,50,No Response,1
CALL00115,CUST01141,AG003,2025-03-09 09:43:09,Chat,Billing,13,Follow-up Required,2
CALL00116,CUST01694,AG007,2026-02-24 03:02:12,Email,Billing,39,Follow-up Required,3
CALL00117,CUST00759,AG007,2026-01-01 15:28:30,Phone,Billing,15,No Response,1
CALL00118,CUST01979,AG005,2025-12-23 01:14:36,Chat,Product Query,50,No Response,2
CALL00119,CUST01319,AG002,2026-07-06 20:55:50,Phone,Technical Support,37,Escalated,5
CALL00120,CUST00727,AG009,2026-07-18 23:59:24,Email,Cancellation,30,No Response,3
CALL00121,CUST00119,AG002,2025-10-18 00:00:34,Phone,Cancellation,17,Escalated,5
CALL00122,CUST00698,AG004,2026-03-19 13:52:51,Chat,Billing,56,No Response,2
CALL00123,CUST00965,AG003,2025-02-17 06:21:46,Phone,Complaint,49,No Response,3
CALL00124,CUST00224,AG008,2025-12-07 23:31:11,Email,Complaint,28,Resolved,5
CALL00125,CUST01135,AG001,2025-09-15 09:08:27,Phone,Technical Support,28,No Response,2
CALL00126,CUST01716,AG005,2025-06-08 22:01:39,Phone,Complaint,46,Resolved,4
CALL00127,CUST00632,AG009,2025-08-14 20:42:11,Chat,Billing,1,Resolved,3
CALL00128,CUST01862,AG009,2025-04-29 22:59:15,Chat,Complaint,47,Escalated,2
CALL00129,CUST00819,AG003,2025-11-02 07:59:46,Chat,Product Query,48,Resolved,1
CALL00130,CUST00565,AG006,2025-11-08 22:33:54,Chat,Complaint,45,Escalated,5
CALL00131,CUST01674,AG005,2025-03-12 23:15:48,Chat,Product Query,26,Follow-up Required,1
CALL00132,CUST01231,AG004,2025-10-02 13:57:29,Chat,Technical Support,28,Resolved,1
CALL00133,CUST01248,AG009,2025-07-09 00:34:10,Chat,Complaint,60,Follow-up Required,3
CALL00134,CUST00490,AG008,2025-08-30 09:10:05,Phone,Technical Support,42,Follow-up Required,1
CALL00135,CUST01200,AG001,2026-06-18 20:02:59,Phone,Technical Support,46,No Response,5
CALL00136,CUST01724,AG009,2025-09-21 04:04:34,Phone,Product Query,28,No Response,4
CALL00137,CUST00390,AG004,2026-01-25 21:56:22,Email,Billing,34,Escalated,1
CALL00138,CUST00014,AG009,2025-05-07 10:52:28,Email,Billing,23,No Response,5
CALL00139,CUST01532,AG008,2026-07-28 04:54:32,Chat,Billing,8,Resolved,4
CALL00140,CUST01391,AG005,2025-09-08 17:32:22,Email,Cancellation,49,No Response,4
CALL00141,CUST00407,AG007,2025-07-07 01:59:32,Phone,Billing,32,Resolved,2
CALL00142,CUST01086,AG005,2025-01-24 08:45:33,Email,Technical Support,32,No Response,5
CALL00143,CUST00243,AG008,2026-05-21 09:12:44,Phone,Cancellation,37,No Response,1
CALL00144,CUST00573,AG002,2025-12-01 01:33:26,Phone,Technical Support,41,No Response,5
CALL00145,CUST00363,AG007,2025-03-27 21:34:56,Email,Cancellation,52,Resolved,2
CALL00146,CUST01847,AG001,2025-11-28 21:58:08,Phone,Cancellation,45,Escalated,1
CALL00147,CUST00718,AG008,2025-06-09 08:59:55,Chat,Technical Support,49,Escalated,1
CALL00148,CUST00960,AG010,2026-02-02 11:06:06,Chat,Product Query,43,Resolved,1
CALL00149,CUST00481,AG008,2025-04-16 22:45:51,Email,Billing,57,No Response,1
CALL00150,CUST01050,AG008,2026-03-02 10:00:36,Chat,Cancellation,8,Follow-up Required,3
CALL00151,CUST01114,AG009,2025-04-17 09:43:40,Chat,Cancellation,43,No Response,2
CALL00152,CUST00167,AG006,2026-02-06 16:13:36,Email,Billing,8,Follow-up Required,3
CALL00153,CUST01570,AG007,2025-06-23 09:21:44,Phone,Cancellation,29,No Response,1
CALL00154,CUST00824,AG006,2026-04-25 01:25:34,Phone,Complaint,3,Escalated,5
CALL00155,CUST00936,AG005,2025-11-13 21:12:16,Chat,Technical Support,25,Follow-up Required,3
CALL00156,CUST00319,AG001,2025-03-21 07:22:20,Chat,Billing,23,No Response,3
CALL00157,CUST00132,AG001,2026-06-02 17:09:14,Phone,Cancellation,29,Follow-up Required,1
CALL00158,CUST01109,AG005,2026-06-13 03:38:22,Chat,Technical Support,51,Escalated,2
CALL00159,CUST00055,AG003,2025-07-12 20:00:41,Email,Complaint,19,Follow-up Required,1
CALL00160,CUST01157,AG010,2025-08-20 12:03:34,Phone,Billing,7,Follow-up Required,2
CALL00161,CUST01530,AG010,2026-02-02 08:42:45,Chat,Complaint,9,Escalated,4
CALL00162,CUST00489,AG005,2025-09-26 18:09:30,Chat,Complaint,49,No Response,3
CALL00163,CUST00572,AG007,2025-03-13 20:30:48,Phone,Complaint,16,No Response,4
CALL00164,CUST01887,AG006,2026-01-24 00:29:51,Email,Cancellation,23,Resolved,1
CALL00165,CUST00916,AG003,2025-05-14 16:58:15,Email,Billing,42,Escalated,2
CALL00166,CUST00606,AG004,2025-05-20 13:23:23,Chat,Product Query,54,Escalated,1
CALL00167,CUST01773,AG004,2026-07-09 18:24:00,Phone,Complaint,5,Resolved,5
CALL00168,CUST01309,AG002,2026-03-22 16:02:56,Phone,Product Query,47,Follow-up Required,5
CALL00169,CUST01196,AG001,2025-03-23 23:35:58,Email,Billing,24,No Response,2
CALL00170,CUST01959,AG004,2025-12-07 04:39:45,Phone,Billing,32,No Response,4
CALL00171,CUST01210,AG010,2025-10-05 06:58:50,Phone,Product Query,11,Escalated,4
CALL00172,CUST01608,AG001,2025-03-28 00:48:21,Phone,Cancellation,8,Resolved,2
CALL00173,CUST01405,AG006,2025-02-26 08:05:47,Email,Technical Support,42,Escalated,3
CALL00174,CUST01493,AG006,2026-06-02 07:34:40,Phone,Complaint,38,Follow-up Required,5
CALL00175,CUST01368,AG007,2025-02-25 14:39:01,Phone,Complaint,21,Follow-up Required,2
CALL00176,CUST00119,AG010,2025-12-24 10:06:34,Chat,Complaint,22,No Response,3
CALL00177,CUST00368,AG004,2025-08-19 10:13:21,Phone,Product Query,32,No Response,2
CALL00178,CUST01049,AG004,2026-01-16 14:19:31,Email,Product Query,27,No Response,3
CALL00179,CUST01418,AG006,2025-09-22 13:42:50,Phone,Complaint,51,Escalated,2
CALL00180,CUST01508,AG009,2026-01-15 02:40:54,Email,Complaint,14,Escalated,1
CALL00181,CUST01613,AG006,2025-06-15 07:35:15,Phone,Complaint,32,Resolved,4
CALL00182,CUST01321,AG001,2025-06-11 08:24:45,Chat,Cancellation,40,Escalated,2
CALL00183,CUST00087,AG005,2025-12-03 00:47:40,Chat,Technical Support,18,No Response,1
CALL00184,CUST01136,AG006,2025-04-01 15:37:11,Phone,Product Query,12,Resolved,1
CALL00185,CUST01422,AG009,2025-12-02 20:15:19,Chat,Complaint,36,Follow-up Required,5
CALL00186,CUST01843,AG007,2026-01-01 20:39:01,Phone,Cancellation,24,Follow-up Required,3
CALL00187,CUST01223,AG007,2026-08-08 19:23:50,Chat,Product Query,59,No Response,2
CALL00188,CUST01120,AG004,2025-05-29 13:16:38,Chat,Product Query,13,No Response,2
CALL00189,CUST00315,AG008,2025-03-05 20:40:31,Email,Billing,35,Resolved,3
CALL00190,CUST01676,AG001,2025-06-11 13:07:29,Chat,Technical Support,26,No Response,2
CALL00191,CUST00814,AG002,2026-04-23 15:21:05,Email,Product Query,21,Resolved,2
CALL00192,CUST01772,AG003,2025-09-08 13:08:14,Phone,Technical Support,35,Resolved,3
CALL00193,CUST00355,AG005,2025-04-09 16:30:55,Chat,Product Query,47,Resolved,5
CALL00194,CUST01573,AG001,2025-05-15 02:58:50,Chat,Product Query,18,No Response,2
CALL00195,CUST00598,AG006,2026-04-23 10:10:25,Chat,Product Query,38,Resolved,1
CALL00196,CUST00300,AG009,2026-07-14 22:10:03,Email,Complaint,51,Resolved,3
CALL00197,CUST01831,AG004,2025-03-31 20:05:03,Phone,Complaint,59,Escalated,2
CALL00198,CUST01551,AG001,2025-12-11 12:03:42,Phone,Technical Support,38,No Response,4
CALL00199,CUST01730,AG003,2026-08-09 13:49:17,Phone,Billing,10,No Response,4
CALL00200,CUST01575,AG001,2025-02-10 20:43:24,Email,Complaint,51,Escalated,3
CALL00201,CUST01170,AG007,2025-04-06 13:58:16,Chat,Technical Support,60,No Response,2
CALL00202,CUST01348,AG008,2025-10-15 14:34:31,Email,Technical Support,57,No Response,4
CALL00203,CUST00101,AG003,2025-02-11 05:46:56,Chat,Product Query,42,Resolved,3
CALL00204,CUST00743,AG003,2025-12-01 09:44:39,Chat,Product Query,8,Follow-up Required,2
CALL00205,CUST00655,AG004,2026-02-15 07:13:45,Phone,Complaint,37,Resolved,1
CALL00206,CUST00579,AG004,2025-08-02 17:49:51,Chat,Product Query,11,Resolved,1
CALL00207,CUST00710,AG007,2026-07-01 14:29:02,Email,Cancellation,46,No Response,5
CALL00208,CUST01302,AG004,2026-06-05 21:38:26,Phone,Complaint,3,Escalated,4
CALL00209,CUST01242,AG004,2026-03-07 05:31:58,Chat,Complaint,10,Escalated,5
CALL00210,CUST01460,AG009,2025-11-07 10:23:45,Phone,Product Query,42,No Response,3
CALL00211,CUST00859,AG008,2025-03-03 18:10:38,Email,Product Query,16,No Response,1
CALL00212,CUST01840,AG010,2025-05-23 08:52:07,Email,Product Query,6,No Response,5
CALL00213,CUST01026,AG004,2026-08-01 21:14:31,Email,Product Query,8,Resolved,4
CALL00214,CUST00683,AG010,2025-11-19 13:11:55,Email,Complaint,19,No Response,4
CALL00215,CUST01781,AG003,2025-09-16 01:03:21,Chat,Cancellation,30,No Response,1
CALL00216,CUST00579,AG004,2026-03-07 21:20:51,Chat,Billing,43,Follow-up Required,1
CALL00217,CUST01653,AG010,2025-05-23 21:43:49,Chat,Technical Support,31,Follow-up Required,5
CALL00218,CUST01483,AG003,2025-07-03 23:56:35,Chat,Technical Support,26,No Response,5
CALL00219,CUST01905,AG009,2025-08-19 03:11:34,Phone,Cancellation,55,Escalated,1
CALL00220,CUST01957,AG009,2026-06-05 01:11:25,Chat,Cancellation,47,Follow-up Required,3
CALL00221,CUST00275,AG010,2025-10-06 09:59:50,Phone,Cancellation,27,Resolved,2
CALL00222,CUST00581,AG009,2025-02-03 22:42:43,Email,Technical Support,60,No Response,4
CALL00223,CUST00997,AG009,2025-10-08 01:16:44,Phone,Technical Support,44,Resolved,5
CALL00224,CUST00549,AG004,2025-06-27 09:52:20,Phone,Product Query,22,Escalated,4
CALL00225,CUST00311,AG006,2025-10-09 19:42:17,Chat,Complaint,25,Escalated,2
CALL00226,CUST01788,AG006,2026-07-07 20:18:14,Email,Complaint,5,No Response,2
CALL00227,CUST00007,AG003,2025-07-11 23:51:55,Email,Technical Support,48,Resolved,5
CALL00228,CUST00530,AG004,2025-06-09 09:45:43,Phone,Technical Support,37,Follow-up Required,1
CALL00229,CUST01721,AG009,2025-10-11 03:30:01,Email,Technical Support,7,Escalated,4
CALL00230,CUST00831,AG001,2025-02-15 04:57:52,Email,Billing,10,No Response,3
CALL00231,CUST00538,AG001,2025-05-05 03:08:17,Email,Billing,7,Escalated,3
CALL00232,CUST01985,AG005,2025-01-27 20:06:04,Email,Cancellation,10,Resolved,1
CALL00233,CUST01337,AG008,2026-06-24 01:08:14,Email,Technical Support,20,Escalated,1
CALL00234,CUST01602,AG009,2026-03-26 03:57:10,Email,Product Query,46,Follow-up Required,3
CALL00235,CUST00713,AG007,2025-04-06 22:21:21,Chat,Cancellation,60,No Response,4
CALL00236,CUST00500,AG009,2025-07-20 08:34:49,Phone,Technical Support,26,Resolved,1
CALL00237,CUST00864,AG002,2025-03-08 00:01:50,Chat,Technical Support,33,Resolved,3
CALL00238,CUST01905,AG002,2026-04-01 18:28:44,Email,Technical Support,33,Escalated,5
CALL00239,CUST01189,AG006,2025-03-20 03:49:33,Email,Complaint,40,Resolved,3
CALL00240,CUST01688,AG004,2026-01-24 06:05:22,Phone,Technical Support,42,Resolved,4
CALL00241,CUST01892,AG009,2025-12-09 04:41:51,Email,Technical Support,6,No Response,3
CALL00242,CUST01949,AG001,2026-03-24 09:55:15,Phone,Product Query,35,Escalated,1
CALL00243,CUST01880,AG004,2026-05-23 22:09:23,Email,Product Query,24,No Response,3
CALL00244,CUST00807,AG003,2026-07-01 18:11:34,Email,Billing,49,No Response,1
CALL00245,CUST01898,AG006,2025-07-17 03:54:55,Email,Complaint,56,Resolved,3
CALL00246,CUST01335,AG003,2026-05-01 11:32:28,Phone,Technical Support,22,Escalated,2
CALL00247,CUST01813,AG010,2025-04-14 17:38:24,Email,Technical Support,35,Resolved,4
CALL00248,CUST00764,AG001,2025-04-01 04:50:23,Phone,Technical Support,16,Escalated,1
CALL00249,CUST00019,AG001,2026-06-11 19:01:11,Email,Billing,4,Resolved,3
CALL00250,CUST00885,AG009,2026-06-25 14:05:08,Phone,Complaint,9,No Response,1
CALL00251,CUST00599,AG006,2026-02-06 11:10:17,Chat,Billing,52,No Response,5
CALL00252,CUST01343,AG009,2025-07-20 01:43:48,Email,Cancellation,20,No Response,4
CALL00253,CUST01239,AG005,2025-09-05 19:33:15,Phone,Technical Support,7,Resolved,3
CALL00254,CUST00830,AG010,2026-04-25 11:43:27,Phone,Billing,15,Follow-up Required,5
CALL00255,CUST01339,AG005,2025-05-18 01:27:13,Chat,Technical Support,38,Escalated,1
CALL00256,CUST00839,AG008,2025-11-07 16:42:29,Email,Product Query,26,Resolved,4
CALL00257,CUST01474,AG010,2025-08-23 04:57:02,Email,Complaint,10,Escalated,5
CALL00258,CUST01084,AG008,2025-04-15 11:35:53,Email,Product Query,29,Follow-up Required,3
CALL00259,CUST00563,AG003,2025-12-10 01:53:51,Chat,Product Query,53,Resolved,5
CALL00260,CUST00215,AG008,2026-02-16 03:28:38,Chat,Technical Support,28,Resolved,5
CALL00261,CUST00201,AG004,2025-05-19 10:16:30,Chat,Cancellation,59,No Response,5
CALL00262,CUST01972,AG007,2026-02-03 17:17:47,Chat,Cancellation,23,Resolved,1
CALL00263,CUST01573,AG007,2026-07-01 14:50:11,Phone,Complaint,16,No Response,2
CALL00264,CUST01654,AG002,2026-06-26 02:07:18,Chat,Technical Support,36,Resolved,4
CALL00265,CUST01277,AG003,2026-06-28 21:38:13,Email,Technical Support,51,Follow-up Required,2
CALL00266,CUST00965,AG002,2025-09-02 14:31:20,Chat,Complaint,49,Escalated,4
CALL00267,CUST01654,AG001,2026-02-12 10:43:09,Phone,Cancellation,55,No Response,1
CALL00268,CUST01512,AG006,2026-03-14 14:41:32,Phone,Cancellation,4,No Response,4
CALL00269,CUST00513,AG003,2026-08-04 05:11:07,Email,Billing,46,Escalated,5
CALL00270,CUST01995,AG007,2025-11-05 17:13:01,Email,Complaint,2,Follow-up Required,2
CALL00271,CUST00229,AG003,2026-05-18 22:56:00,Phone,Cancellation,47,Escalated,4
CALL00272,CUST01033,AG001,2025-11-24 23:25:22,Phone,Billing,16,Resolved,1
CALL00273,CUST00226,AG002,2026-05-05 17:08:56,Chat,Billing,43,Resolved,2
CALL00274,CUST01448,AG006,2025-07-24 10:53:31,Phone,Cancellation,24,Follow-up Required,1
CALL00275,CUST00764,AG002,2025-02-13 22:33:23,Email,Product Query,5,Resolved,1
CALL00276,CUST00170,AG009,2025-08-04 07:50:05,Phone,Billing,42,Resolved,3
CALL00277,CUST01604,AG008,2025-07-19 20:09:27,Email,Cancellation,22,Resolved,5
CALL00278,CUST01913,AG002,2026-04-24 08:43:55,Phone,Product Query,10,Escalated,1
CALL00279,CUST00701,AG009,2026-02-17 09:12:40,Email,Product Query,19,Escalated,2
CALL00280,CUST00332,AG004,2026-01-14 04:24:45,Email,Billing,12,Follow-up Required,1
CALL00281,CUST00610,AG009,2025-04-23 22:49:55,Chat,Cancellation,13,No Response,3
CALL00282,CUST01602,AG010,2026-02-14 01:25:04,Chat,Cancellation,27,Follow-up Required,4
CALL00283,CUST01712,AG003,2026-02-11 15:55:54,Phone,Technical Support,28,Escalated,1
CALL00284,CUST00976,AG004,2026-07-09 22:01:28,Phone,Technical Support,20,No Response,2
CALL00285,CUST01091,AG002,2025-06-08 19:57:49,Phone,Complaint,16,Escalated,1
CALL00286,CUST01289,AG001,2026-02-16 01:10:24,Chat,Billing,50,Escalated,1
CALL00287,CUST00734,AG006,2025-02-15 12:16:38,Phone,Complaint,32,Escalated,2
CALL00288,CUST01193,AG007,2026-03-14 17:19:00,Phone,Technical Support,14,Follow-up Required,2
CALL00289,CUST00120,AG006,2026-04-30 15:01:18,Email,Technical Support,29,No Response,2
CALL00290,CUST00831,AG010,2026-04-06 15:41:54,Chat,Complaint,60,Follow-up Required,5
CALL00291,CUST01454,AG002,2025-09-27 09:23:31,Chat,Cancellation,1,Escalated,2
CALL00292,CUST01905,AG003,2025-09-13 17:00:49,Email,Product Query,56,Follow-up Required,2
CALL00293,CUST01791,AG009,2025-01-21 14:45:25,Phone,Technical Support,8,Escalated,3
CALL00294,CUST00621,AG003,2025-10-02 06:17:50,Chat,Complaint,16,Escalated,5
